ID,kraken,mapped_bases,error_rate,indel_ratio,insert_size,insert_size_rev,heterozygous_snps
SRR1314475, 37.05, 89.24, 1.143048e-02, 1.143048e-02, 23.43, 230.56, 6.01
SRR1314476, 74.49, 65.01, 2.416338e-02, 2.416338e-02, 1.89, 97.86, 0.96
SRR1314477, 73.89, 67.49, 2.391618e-02, 2.391618e-02, 18.94, 258.55, 0.92
SRR1314478, 57.74, 52.56, 2.721125e-02, 2.721125e-02, 1.54, 98.44, 0.00
SRR1314479, 74.58, 67.90, 2.376384e-02, 2.376384e-02, 16.17, 311.94, 0.67
SRR1314510, 68.86, 61.57, 2.673972e-02, 2.673972e-02, 1.72, 98.00, 1.31
SRR1314511, 57.34, 56.60, 2.561057e-02, 2.561057e-02, 1.70, 98.57, 10.19
SRR1314512, 74.22, 61.78, 2.429605e-02, 2.429605e-02, 20.41, 215.34, 0.39
SRR1314513, 40.02, 85.28, 1.472650e-02, 1.472650e-02, 1.95, 98.22, 0.91
SRR1314514, 41.55, 60.99, 2.513411e-02, 2.513411e-02, 4.82, 98.64, 0.00
SRR1314515, 37.47, 82.13, 1.102132e-02, 1.102132e-02, 21.96, 173.23, 1.54
SRR1314516, 73.93, 68.47, 2.424008e-02, 2.424008e-02, 30.79, 119.44, 1.97
SRR1314517, 66.76, 63.66, 2.263984e-02, 2.263984e-02, 1.47, 97.87, 1.67
SRR1314518, 75.73, 67.95, 2.439475e-02, 2.439475e-02, 1.09, 97.86, 0.86
SRR1314519, 73.11, 65.35, 2.440980e-02, 2.440980e-02, 19.28, 247.89, 1.95
SRR1314530, 65.58, 63.28, 2.645123e-02, 2.645123e-02, 1.10, 98.32, 0.16
SRR1314531, 73.47, 65.63, 2.688677e-02, 2.688677e-02, 1.82, 97.85, 0.41
SRR1314532, 70.04, 58.73, 2.587357e-02, 2.587357e-02, 1.43, 97.87, 1.83
SRR1314533, 68.67, 59.61, 2.617605e-02, 2.617605e-02, 1.90, 97.79, 0.43
SRR1314534, 73.62, 66.12, 2.653012e-02, 2.653012e-02, 1.23, 97.85, 0.51
SRR1314535, 56.64, 72.71, 2.446267e-02, 2.446267e-02, 1.75, 97.94, 0.44
SRR1314538, 58.17, 66.67, 2.213798e-02, 2.213798e-02, 2.73, 98.25, 0.00
SRR1314544, 65.11, 58.31, 2.703562e-02, 2.703562e-02, 1.30, 98.34, 1.80
SRR1314545, 56.24, 40.77, 2.512234e-02, 2.512234e-02, 31.37, 144.63, 0.66
SRR1314550, 64.43, 60.81, 2.685798e-02, 2.685798e-02, 1.37, 97.99, 0.34
SRR1314551, 65.58, 63.38, 2.312739e-02, 1.0194366661176082, 1.63, 97.96, 0.93
SRR1314552, 66.86, 46.38, 2.653074e-02, 2.653074e-02, 1.20, 98.14, 2.72
SRR1314553, 69.23, 67.01, 2.625980e-02, 2.625980e-02, 18.09, 297.66, 0.23
SRR1314555, 20.69, 21.29, 2.863195e-02, 2.863195e-02, 23.96, 195.45, 0.00
SRR1314556, 72.76, 63.78, 2.634791e-02, 2.634791e-02, 1.43, 98.01, 0.60
SRR1314557, 67.87, 60.77, 2.554481e-02, 2.554481e-02, 1.99, 98.00, 1.00
SRR1314558, 74.25, 66.15, 2.601161e-02, 2.601161e-02, 1.52, 97.95, 0.87
SRR1314559, 50.19, 46.30, 2.361450e-02, 2.361450e-02, 5.36, 98.46, 0.00
SRR1314570, 73.93, 65.94, 2.636550e-02, 2.636550e-02, 1.85, 97.92, 0.74
SRR1314571, 66.26, 58.54, 2.622945e-02, 2.622945e-02, 1.55, 97.90, 0.32
SRR1314572, 76.70, 66.29, 2.608647e-02, 2.608647e-02, 20.43, 250.68, 0.71
SRR1314573, 77.12, 62.59, 2.649408e-02, 2.649408e-02, 1.35, 97.90, 0.57
SRR1314574, 68.74, 64.54, 2.571377e-02, 2.571377e-02, 1.61, 97.90, 1.52
SRR1314575, 70.14, 65.73, 2.669190e-02, 2.669190e-02, 1.81, 97.94, 0.72
SRR1314576, 74.70, 59.71, 2.680672e-02, 2.680672e-02, 1.39, 97.87, 1.25
SRR1314577, 76.69, 67.09, 2.658828e-02, 2.658828e-02, 1.82, 97.92, 0.85
SRR1314578, 75.33, 62.90, 2.649587e-02, 2.649587e-02, 1.76, 97.89, 0.98
SRR1314579, 30.38, 80.78, 1.496738e-02, 1.496738e-02, 1.42, 98.16, 1.18
SRR1314590, 68.92, 62.36, 2.665682e-02, 2.665682e-02, 1.80, 97.97, 0.82
SRR1314591, 67.07, 54.79, 2.620953e-02, 2.620953e-02, 1.16, 98.35, 1.17
SRR1314592, 66.19, 52.74, 2.523776e-02, 2.523776e-02, 1.33, 98.24, 0.72
SRR1314593, 67.23, 54.34, 2.559830e-02, 2.559830e-02, 32.41, 145.60, 0.69
SRR1314594, 71.57, 68.68, 2.593968e-02, 2.593968e-02, 1.14, 98.06, 0.39
SRR1314595, 55.33, 61.59, 2.327340e-02, 2.327340e-02, 2.27, 98.36, 0.00
SRR1314596, 75.41, 67.43, 2.399446e-02, 2.399446e-02, 16.40, 285.81, 0.71
SRR1639082, 56.00, 75.69, 1.660411e-02, 1.660411e-02, 82.10, 23.78, 1.05
SRR1773018, 46.55, 81.36, 1.336260e-02, 1.336260e-02, 74.76, 27.98, 0.95
SRR3240961, 41.80, 57.48, 1.612010e-02, 1.2112758772573777, 38.75, 107.09, 1.53
SRR3240962, 43.18, 62.58, 1.005483e-02, 1.1651006711409395, 36.45, 115.79, 4.93
SRR3240963, 45.46, 62.38, 1.000577e-02, 1.2219819111285883, 37.80, 111.76, 4.98
SRR3240964, 47.35, 64.15, 1.231667e-02, 1.1081296493092454, 34.26, 130.30, 3.56
SRR3240965, 34.26, 59.75, 9.991450e-03, 1.2840608215447462, 35.39, 122.14, 1.95
SRR3240966, 41.73, 70.06, 9.588994e-03, 1.1717929482370593, 38.51, 100.00, 3.51
SRR3240968, 35.93, 62.51, 1.009758e-02, 1.2459916864608076, 30.76, 144.17, 1.73
SRR3240980, 40.57, 67.95, 1.211542e-02, 1.0845511482254697, 36.34, 107.04, 1.08
SRR3240981, 45.45, 62.62, 1.026326e-02, 1.2719311049481827, 37.28, 117.74, 5.39
SRR3240982, 30.39, 73.26, 1.191336e-02, 1.0846125046798951, 38.36, 96.55, 2.02
SRR3240983, 59.39, 73.92, 1.604367e-02, 1.604367e-02, 39.38, 81.77, 1.54
SRR3240984, 45.40, 71.87, 9.637490e-03, 1.0343129467831613, 34.08, 126.80, 3.35
SRR3240985, 54.45, 61.52, 1.515078e-02, 1.200066219683801, 37.13, 114.05, 1.41
SRR3240986, 57.65, 69.35, 1.575264e-02, 1.0679511576276561, 39.56, 90.18, 1.56
SRR3240988, 37.28, 66.53, 9.570671e-03, 1.2173681406499735, 33.67, 136.64, 2.49
SRR3241110, 45.10, 75.80, 9.387026e-03, 9.387026e-03, 37.25, 96.22, 3.37
SRR3241834, 66.68, 51.02, 2.289123e-02, 1.0414593698175787, 35.87, 113.99, 1.08
SRR3241835, 37.03, 67.46, 9.605880e-03, 1.2771260997067448, 32.36, 137.40, 2.88
SRR3241836, 38.14, 63.99, 1.011478e-02, 1.2523179814561483, 35.73, 116.42, 2.78
SRR3241837, 71.98, 56.40, 2.259298e-02, 1.120539477381287, 33.01, 134.71, 2.07
SRR3241838, 59.50, 58.36, 2.114452e-02, 2.114452e-02, 41.12, 82.95, 0.54
SRR3241839, 43.84, 63.58, 1.301948e-02, 1.2503006012024047, 35.49, 116.39, 5.10
SRR3241850, 41.02, 69.77, 1.027293e-02, 1.2144493392070486, 38.21, 103.50, 1.86
SRR3241851, 37.62, 66.89, 1.009212e-02, 1.2191383595691798, 36.71, 102.10, 2.77
SRR3241852, 43.82, 64.03, 9.849477e-03, 1.1603696098562628, 36.33, 112.88, 4.89
SRR3241853, 34.90, 66.71, 9.672924e-03, 1.1372419488026424, 36.23, 108.45, 1.32
SRR3241854, 36.56, 50.46, 1.620156e-02, 1.4765446224256293, 27.82, 154.21, 1.87
SRR3241855, 42.20, 69.76, 9.291781e-03, 1.0176332288401253, 37.42, 96.75, 4.42
SRR3241856, 36.66, 61.58, 9.311701e-03, 1.131300219138057, 37.32, 108.97, 1.56
SRR3241857, 41.97, 62.95, 1.237127e-02, 1.2037907505686125, 37.76, 112.98, 1.05
SRR3241858, 57.47, 70.63, 1.594651e-02, 1.0419012459621597, 36.80, 100.00, 1.66
SRR3241859, 42.17, 63.36, 1.014577e-02, 1.154931470034937, 34.74, 128.69, 4.15
SRR3241991, 33.93, 70.43, 1.056699e-02, 1.1274820624061406, 38.79, 95.10, 1.40
SRR3241992, 37.08, 69.95, 5.355476e-03, 1.4437606112054329, 34.74, 134.96, 1.87
SRR3241993, 36.21, 65.43, 9.946797e-03, 1.2618453865336658, 37.20, 104.23, 2.34
SRR3241994, 37.39, 66.67, 1.003777e-02, 1.2509811250233602, 37.18, 104.20, 2.66
SRR3241995, 33.35, 71.42, 1.057907e-02, 1.1801017675415104, 36.77, 102.11, 1.67
SRR3241996, 35.69, 63.36, 9.981949e-03, 1.2227714334412818, 35.42, 120.30, 2.05
SRR3241997, 44.41, 63.75, 9.841300e-03, 1.2104616225075115, 38.96, 103.47, 4.01
SRR3241998, 45.53, 62.17, 1.006738e-02, 1.2004310344827587, 35.29, 116.03, 4.74
SRR3241999, 40.50, 59.44, 1.599471e-02, 1.2038763750654793, 37.55, 106.38, 1.21
SRR3530392, 60.13, 73.82, 1.616972e-02, 1.616972e-02, 39.39, 78.66, 0.96
SRR3530507, 52.52, 77.43, 1.350249e-02, 1.350249e-02, 38.37, 81.31, 52.53
SRR3530628, 58.26, 71.21, 1.599382e-02, 1.599382e-02, 32.99, 107.26, 1.02
SRR3531744, 58.79, 73.91, 1.600588e-02, 1.600588e-02, 42.18, 66.52, 0.90
SRR3574024, 36.10, 84.95, 8.966139e-03, 8.966139e-03, 31.35, 123.59, 2.62
SRR3574025, 43.69, 81.75, 1.302780e-02, 1.302780e-02, 41.02, 69.95, 2.19
SRR3574026, 36.08, 66.64, 8.911460e-03, 8.911460e-03, 29.42, 163.11, 1.38
SRR3574027, 63.66, 77.67, 1.966301e-02, 1.966301e-02, 41.78, 71.89, 1.53
SRR3574028, 36.51, 78.98, 9.397469e-03, 1.085041761579347, 26.69, 173.77, 2.67
SRR3574029, 38.27, 73.09, 9.521287e-03, 9.521287e-03, 34.16, 118.31, 3.06
SRR3574230, 40.41, 66.88, 1.006080e-02, 1.006080e-02, 38.22, 83.42, 1.54
SRR3574231, 45.53, 83.91, 1.144772e-02, 1.144772e-02, 33.74, 128.21, 1.13
SRR3574232, 36.94, 80.76, 9.975064e-03, 9.975064e-03, 42.10, 69.88, 4.30
SRR3574233, 77.56, 74.92, 2.265042e-02, 2.265042e-02, 38.81, 83.68, 0.79
SRR3574234, 36.11, 75.81, 1.133172e-02, 1.133172e-02, 41.29, 70.39, 1.42
SRR3574235, 77.39, 68.59, 2.310279e-02, 2.310279e-02, 39.87, 81.36, 0.46
SRR3574236, 30.55, 71.34, 1.115509e-02, 1.115509e-02, 31.55, 134.85, 3.05
SRR3574238, 77.36, 70.14, 2.243559e-02, 2.243559e-02, 37.58, 93.22, 1.10
SRR3574239, 44.72, 74.65, 9.942547e-03, 9.942547e-03, 32.35, 123.24, 4.11
SRR3574250, 35.13, 71.40, 9.115148e-03, 9.115148e-03, 33.88, 137.88, 1.52
SRR3574251, 42.83, 75.39, 9.345970e-03, 9.345970e-03, 33.31, 124.40, 1.96
SRR3574256, 78.77, 69.26, 2.336111e-02, 2.336111e-02, 41.04, 74.87, 1.16
SRR3574257, 77.73, 69.83, 2.278448e-02, 2.278448e-02, 40.21, 78.45, 1.49
SRR3574258, 30.64, 80.81, 1.160128e-02, 1.160128e-02, 39.76, 80.56, 1.95
SRR3574259, 61.55, 62.37, 2.111333e-02, 2.111333e-02, 37.07, 93.09, 0.65
SRR3574270, 33.11, 79.21, 1.250705e-02, 1.250705e-02, 33.07, 118.18, 2.07
SRR3574271, 36.43, 79.60, 1.020671e-02, 1.020671e-02, 34.84, 110.20, 1.83
SRR3574272, 65.26, 78.49, 2.025895e-02, 2.025895e-02, 40.13, 81.77, 1.05
SRR3574273, 39.02, 73.10, 9.795588e-03, 9.795588e-03, 40.35, 75.23, 2.11
SRR3574274, 39.90, 78.88, 1.170486e-02, 1.090043695380774, 43.11, 72.44, 1.91
SRR3574275, 43.49, 78.82, 1.168987e-02, 1.168987e-02, 35.66, 101.52, 2.61
SRR3574276, 37.97, 81.75, 1.030984e-02, 1.030984e-02, 42.16, 66.99, 3.84
SRR3574277, 76.82, 75.77, 2.308693e-02, 2.308693e-02, 39.47, 80.97, 0.79
SRR3574278, 34.45, 86.09, 8.644691e-03, 8.644691e-03, 37.60, 89.86, 1.24
SRR3574279, 76.77, 64.32, 2.364018e-02, 2.364018e-02, 35.20, 100.57, 0.17
SRR3574290, 35.02, 68.48, 9.575292e-03, 9.575292e-03, 33.30, 140.50, 1.67
SRR3574291, 61.12, 71.33, 2.108505e-02, 2.108505e-02, 38.69, 79.79, 1.33
SRR3574292, 34.17, 85.89, 8.746600e-03, 8.746600e-03, 35.87, 110.26, 1.63
SRR3574293, 37.53, 77.94, 9.640452e-03, 9.640452e-03, 35.02, 108.28, 2.63
SRR3574294, 37.32, 75.03, 9.300224e-03, 9.300224e-03, 34.81, 106.29, 2.05
SRR3574295, 77.39, 70.72, 2.415006e-02, 2.415006e-02, 35.49, 108.97, 0.73
SRR3574296, 47.49, 73.87, 1.277814e-02, 1.277814e-02, 36.88, 91.19, 3.37
SRR3574297, 40.20, 64.36, 1.097249e-02, 1.097249e-02, 28.64, 160.83, 4.00
SRR3574299, 26.19, 77.29, 1.100750e-02, 1.100750e-02, 19.14, 246.08, 0.72
SRR3574330, 45.20, 76.75, 1.209247e-02, 1.209247e-02, 37.23, 88.78, 1.96
SRR3574332, 33.55, 75.99, 9.638994e-03, 9.638994e-03, 41.80, 68.29, 1.90
SRR3574333, 39.25, 68.33, 9.295817e-03, 9.295817e-03, 34.29, 121.83, 2.47
SRR3574334, 41.29, 87.99, 4.330925e-03, 4.330925e-03, 36.65, 95.94, 3.45
SRR3574335, 46.25, 74.89, 9.491915e-03, 9.491915e-03, 36.07, 98.92, 4.27
SRR3574336, 35.90, 87.12, 8.928097e-03, 8.928097e-03, 39.10, 80.59, 1.14
SRR3574337_Gal, 37.81, 80.93, 9.219672e-03, 9.219672e-03, 35.07, 98.91, 2.74
SRR3574338, 78.02, 73.54, 2.202741e-02, 2.202741e-02, 38.20, 89.95, 0.90
SRR3578447, 71.78, 69.96, 2.217782e-02, 2.217782e-02, 35.70, 96.80, 0.93
SRR3578570, 41.26, 85.02, 4.403152e-03, 1.099072718399219, 43.91, 60.37, 2.84
SRR3578571, 78.13, 75.21, 2.340556e-02, 2.340556e-02, 39.73, 77.99, 0.27
SRR3578572, 45.68, 71.52, 9.233081e-03, 9.233081e-03, 35.12, 109.20, 3.99
SRR3578573, 45.40, 76.18, 9.458452e-03, 9.458452e-03, 38.61, 77.97, 3.65
SRR3578574, 39.32, 67.81, 9.457614e-03, 1.1067457375833951, 28.72, 153.15, 2.02
SRR3578575, 79.02, 72.71, 2.397865e-02, 2.397865e-02, 37.54, 86.96, 0.16
SRR3578577, 59.41, 76.07, 1.605320e-02, 1.605320e-02, 37.79, 89.71, 1.63
SRR3578578, 36.76, 74.45, 1.135579e-02, 1.0089590443686007, 31.70, 139.86, 1.36
SRR3578579, 34.08, 82.50, 9.404304e-03, 9.404304e-03, 35.27, 97.14, 2.60
SRR3578590, 78.93, 76.14, 2.302464e-02, 2.302464e-02, 37.70, 88.41, 0.15
SRR3578591, 44.91, 69.66, 1.700452e-02, 1.700452e-02, 42.17, 66.34, 1.82
SRR3578592, 36.89, 79.70, 9.098339e-03, 1.1346644647950759, 31.56, 130.77, 1.56
SRR3578593, 34.38, 75.61, 9.354974e-03, 9.354974e-03, 34.07, 121.97, 2.07
SRR3578594, 21.44, 71.70, 9.966398e-03, 9.966398e-03, 32.44, 135.95, 1.11
SRR3578595, 76.86, 70.92, 2.253085e-02, 2.253085e-02, 37.34, 106.98, 0.52
SRR3578596, 46.49, 79.62, 1.285505e-02, 1.285505e-02, 47.03, 55.25, 1.07
SRR3578597, 40.41, 75.30, 9.515106e-03, 9.515106e-03, 38.66, 83.98, 2.55
SRR3578598, 35.90, 74.62, 1.117874e-02, 1.1812232905982907, 35.65, 127.66, 1.35
SRR3578599, 78.56, 67.76, 2.313934e-02, 2.313934e-02, 37.10, 94.20, 0.76
SRR3578610, 79.41, 75.12, 2.318096e-02, 2.318096e-02, 38.42, 85.84, 0.53
SRR3578611, 38.85, 74.42, 9.323154e-03, 9.323154e-03, 34.30, 106.81, 2.07
SRR3578612, 38.63, 74.32, 9.272287e-03, 9.272287e-03, 32.67, 110.23, 2.86
SRR3578613, 33.87, 69.16, 1.000454e-02, 1.0090210491146008, 32.95, 121.77, 1.57
SRR3578614, 46.85, 74.63, 1.217471e-02, 1.217471e-02, 26.25, 190.85, 2.02
SRR3578615, 41.47, 73.74, 9.754004e-03, 9.754004e-03, 37.20, 89.08, 2.82
SRR3578616, 44.54, 82.32, 1.163637e-02, 1.163637e-02, 40.59, 72.02, 0.78
SRR3578617, 46.07, 69.80, 1.043061e-02, 1.043061e-02, 40.46, 78.06, 6.90
SRR3578619, 36.26, 71.63, 9.515329e-03, 9.515329e-03, 34.37, 113.50, 2.01
SRR3578628, 69.18, 67.87, 2.057227e-02, 2.057227e-02, 29.77, 155.92, 1.94
SRR3578630, 35.20, 69.79, 1.162976e-02, 1.177326511032939, 30.80, 166.15, 1.86
SRR3578631, 44.46, 74.44, 3.932167e-03, 3.932167e-03, 37.59, 89.00, 9.44
SRR3578632, 30.60, 78.91, 1.038510e-02, 1.0450934579439253, 32.97, 122.75, 1.40
SRR3578633, 76.06, 66.38, 2.259814e-02, 2.259814e-02, 39.37, 80.10, 0.95
SRR3578634, 41.93, 74.02, 1.202389e-02, 1.202389e-02, 38.19, 98.18, 16.44
SRR3578635, 37.84, 77.07, 1.365373e-02, 1.365373e-02, 44.89, 57.50, 2.06
SRR3578636, 46.68, 72.80, 1.184017e-02, 1.184017e-02, 34.10, 106.52, 0.93
SRR3578637, 43.76, 74.99, 9.676008e-03, 9.676008e-03, 38.59, 86.96, 2.84
SRR3578639, 57.79, 72.04, 1.620628e-02, 1.620628e-02, 44.48, 57.50, 1.59
SRR3578650, 43.45, 81.11, 9.665018e-03, 9.665018e-03, 37.00, 91.15, 2.12
SRR3578653, 36.03, 74.16, 1.121447e-02, 1.121447e-02, 34.04, 121.02, 1.44
SRR3578654, 45.23, 69.84, 1.219884e-02, 1.219884e-02, 38.48, 90.86, 3.84
SRR3578655, 45.37, 73.54, 9.218819e-03, 9.218819e-03, 35.68, 102.12, 4.00
SRR3578656, 80.66, 70.83, 2.218081e-02, 2.218081e-02, 33.32, 111.43, 0.85
SRR3578657, 76.70, 70.63, 2.279606e-02, 2.279606e-02, 33.34, 126.83, 1.10
SRR3578658, 43.67, 72.87, 1.223677e-02, 1.2307311203906859, 36.78, 119.85, 1.94
SRR3578659, 43.48, 78.01, 1.185239e-02, 1.185239e-02, 45.52, 58.16, 1.10
SRR3578670, 32.39, 72.98, 9.522137e-03, 1.0703141252340338, 32.65, 130.54, 2.32
SRR3578671, 72.58, 71.36, 2.326911e-02, 2.326911e-02, 41.44, 71.07, 0.86
SRR3578672, 36.55, 76.79, 1.116771e-02, 1.1336336336336337, 30.77, 147.06, 0.74
SRR3578770, 33.52, 73.81, 9.571554e-03, 1.000865800865801, 31.21, 141.98, 3.60
SRR3578771, 74.21, 71.91, 1.955965e-02, 1.955965e-02, 43.26, 64.81, 1.56
SRR3578772, 45.72, 75.57, 9.627595e-03, 9.627595e-03, 36.39, 92.96, 3.67
SRR3578773, 38.40, 65.24, 9.114002e-03, 1.0386728655959425, 30.57, 145.52, 1.67
SRR3578790, 37.04, 76.85, 9.565857e-03, 9.565857e-03, 37.15, 94.65, 3.20
SRR3578791, 58.58, 70.79, 1.578671e-02, 1.578671e-02, 34.36, 118.45, 1.61
SRR3578792, 48.72, 79.28, 1.181453e-02, 1.181453e-02, 35.25, 109.23, 1.54
SRR3578793, 74.27, 73.11, 1.920235e-02, 1.0230992455020314, 33.29, 121.47, 1.24
SRR3578794, 71.00, 65.89, 2.286569e-02, 2.286569e-02, 40.04, 82.81, 0.49
SRR3578795, 81.94, 70.07, 2.276256e-02, 1.0018826135105205, 33.20, 123.35, 0.86
SRR3578796, 38.52, 77.94, 9.403059e-03, 9.403059e-03, 37.80, 88.51, 2.42
SRR3578797, 36.27, 73.88, 1.138826e-02, 1.0846013390139988, 29.33, 165.67, 1.26
SRR3578798, 38.88, 66.54, 1.046351e-02, 1.046351e-02, 38.95, 74.87, 1.94
SRR3578799, 41.68, 68.26, 9.604284e-03, 9.604284e-03, 39.06, 81.16, 2.68
SRR3578800, 78.87, 67.61, 2.333520e-02, 2.333520e-02, 37.43, 94.62, 1.41
SRR3578801, 68.65, 63.44, 2.075858e-02, 1.0159420289855072, 37.86, 97.71, 1.86
SRR3578802, 75.68, 68.77, 2.242045e-02, 2.242045e-02, 38.40, 86.70, 0.79
SRR3578803, 67.59, 66.51, 2.412156e-02, 2.412156e-02, 50.25, 49.80, 1.38
SRR3578804, 59.11, 67.96, 2.100779e-02, 2.100779e-02, 36.42, 93.94, 0.78
SRR3578805, 36.80, 76.91, 1.121581e-02, 1.0112648857418731, 28.03, 161.97, 1.30
SRR3578806, 80.98, 70.77, 2.313713e-02, 2.313713e-02, 43.29, 63.89, 0.52
SRR3578807, 38.55, 73.44, 9.124534e-03, 1.0022199453551912, 34.73, 109.50, 1.60
SRR3578808, 70.30, 69.19, 2.073767e-02, 1.0003064194882794, 52.51, 44.17, 0.93
SRR3578809, 59.19, 75.56, 1.608135e-02, 1.608135e-02, 39.51, 78.06, 1.59
SRR3578905, 78.12, 69.76, 2.311331e-02, 2.311331e-02, 45.71, 56.92, 1.01
SRR3578906, 74.84, 68.14, 2.185407e-02, 2.185407e-02, 35.28, 109.04, 0.66
SRR3578907, 43.16, 86.41, 1.153383e-02, 1.018674381904261, 39.91, 78.14, 1.02
SRR3578909, 40.91, 72.18, 9.901914e-03, 9.901914e-03, 38.08, 80.18, 2.92
SRR3578940, 40.94, 72.12, 1.146840e-02, 1.146840e-02, 37.18, 92.22, 0.88
SRR3578941, 43.97, 73.91, 9.225287e-03, 9.225287e-03, 37.63, 93.68, 3.06
SRR3578942, 56.61, 67.16, 1.575137e-02, 1.575137e-02, 39.04, 82.56, 1.42
SRR3578943, 46.20, 71.75, 9.902094e-03, 9.902094e-03, 38.85, 89.71, 4.09
SRR3578944, 41.67, 61.81, 1.222769e-02, 1.222769e-02, 38.39, 87.70, 2.98
SRR3578945, 44.43, 77.80, 1.164527e-02, 1.164527e-02, 35.64, 106.63, 1.70
SRR3578946, 67.02, 72.39, 2.078985e-02, 2.078985e-02, 40.40, 79.55, 1.89
SRR3578948, 39.27, 78.66, 9.485440e-03, 9.485440e-03, 35.16, 117.36, 3.62
