#Organism Group,Strain,Serovar,Isolate,Create Date,Location,Isolation Source,Isolation type,Host,SNP cluster,Min-same,Min-diff,BioSample,Assembly,AMR genotypes,K-mer group
"E.coli and Shigella","NC_STEC195",,"PDT000215557.2","2017-06-05T19:16:38Z","USA:TN","Chicken house 2 Front","environmental/other",,"PDS000013548.8",1,,"SAMN06645858",,"aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1","PDG000000004.1006"
"E.coli and Shigella","NC_STEC199",,"PDT000215559.2","2017-06-05T19:16:39Z","USA:TN","Chicken house 4 Back","environmental/other",,"PDS000013547.7",0,,"SAMN06645945",,"aac(3)-VIa,aadA1,blaEC,qacEdelta1,sul1,tet(B)","PDG000000004.1006"
"E.coli and Shigella","NC_STEC198",,"PDT000215565.2","2017-06-05T19:16:40Z","USA:TN","Chicken house 1 Back","environmental/other",,"PDS000013548.8",2,,"SAMN06645896",,"aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1","PDG000000004.1006"
"E.coli and Shigella","NC_STEC193",,"PDT000215566.2","2017-06-05T19:16:40Z","USA:TN","Chicken house 4 Front","environmental/other",,"PDS000033448.1",5,,"SAMN06645860",,"aac(3)-VIa,aadA1,ant(3''),aph(3'')-Ib,aph(6)-I,blaEC,dfrA14,qacEdelta1,sat2,sul1","PDG000000004.1006"
"E.coli and Shigella","NC_STEC192",,"PDT000215567.2","2017-06-05T19:16:40Z","USA:TN","Chicken house 3 Front","environmental/other",,"PDS000013547.7",1,,"SAMN06645861",,"aac(3)-VIa,aadA1,blaEC,qacEdelta1,sul1,tet(B)","PDG000000004.1006"
"E.coli and Shigella","NC_STEC185",,"PDT000215569.2","2017-06-05T19:16:41Z","USA:TN","Chicken house 4 Middle","environmental/other",,"PDS000035235.1",0,,"SAMN06645868",,"aac(3)-VIa,aadA1,blaEC,qacEdelta1,sul1,tet","PDG000000004.1006"
"E.coli and Shigella","NC_STEC189",,"PDT000215574.4","2018-06-26T23:05:59Z","USA:TN","Chicken house 2 Front","environmental/other",,"PDS000023673.2",33,,"SAMN06645864",,"aac(3)-IId,aac(3)-VIa,aadA1,aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,qacEdelta1,sul1,tet(B)","PDG000000004.1006"
"E.coli and Shigella","NC_STEC187",,"PDT000215576.4","2018-06-26T23:06:11Z","USA:TN","Chicken house 4 Front","environmental/other",,"PDS000013547.7",0,,"SAMN06645866",,"aac(3)-VIa,aadA1,blaEC,qacE,qacEdelta1,sul1,tet(B)","PDG000000004.1006"
"E.coli and Shigella","NC_STEC184",,"PDT000215578.4","2018-06-26T23:06:12Z","USA:TN","Chicken house 3 Back","environmental/other",,"PDS000013552.5",3,,"SAMN06645869",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","NC_STEC186",,"PDT000215583.4","2018-06-26T23:06:11Z","USA:TN","Chicken house 2 Middle","environmental/other",,"PDS000013542.6",5,,"SAMN06645867",,"aac(3)-IId,aac(3)-VIa,aadA1,aadA2,aph(3''),aph(3'')-Ib,aph(6)-I,aph(6)-Id,blaCMY,blaCMY-2,blaEC,blaTEM-1,dfrA12,floR,mph(A),qacEdelta1,sul1,sul2,tet(A),tet(B)","PDG000000004.1006"
"E.coli and Shigella","NC_STEC190",,"PDT000215585.2","2017-06-05T19:16:44Z","USA:TN","Chicken house 4 Back","environmental/other",,"PDS000033448.1",5,,"SAMN06645863",,"aac(3)-VIa,aph(3'')-Ib,aph(6)-I,blaEC,dfrA14,qacEdelta1,sat2,sul1","PDG000000004.1006"
"E.coli and Shigella","NC_STEC188",,"PDT000215586.2","2017-06-05T19:16:44Z","USA:TN","Chicken house 3 Middle","environmental/other",,"PDS000035235.1",1,,"SAMN06645865",,"aac(3)-VIa,aadA1,blaEC,qacEdelta1,sul1,tet(C)","PDG000000004.1006"
"E.coli and Shigella","NC_STEC191",,"PDT000215587.5","2018-06-26T23:05:50Z","USA:TN","Chicken house 2 Back","environmental/other",,"PDS000013548.8",0,,"SAMN06645862",,"aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1","PDG000000004.1006"
"E.coli and Shigella","NC_P18-05",,"PDT000215758.2","2017-06-05T23:22:47Z","Uganda","Poultry","environmental/other",,,,,"SAMN06848988",,"blaEC,qnrS,tet(A)","PDG000000004.1006"
"E.coli and Shigella","NC_P17-07",,"PDT000215759.2","2017-06-05T23:22:47Z","Uganda","Poultry","environmental/other",,,,,"SAMN06848504",,"aadA5,aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,dfrA17,qnrS,sul2,tet(A)","PDG000000004.1006"
"E.coli and Shigella","NC_P19-10",,"PDT000215760.2","2017-06-05T23:22:48Z","Uganda","Poultry","environmental/other",,,,,"SAMN06848985",,"blaEC,sul2,tet(A)","PDG000000004.1006"
"E.coli and Shigella","NC_P17-13",,"PDT000215761.2","2017-06-05T23:22:48Z","Uganda","Poultry","environmental/other",,,,,"SAMN06848929",,"aac(3)-II,aadA1,aadA2,aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,catA1,cmlA1,dfrA17,qacL,qnrS1,sul2,sul3,tet(A),tet(B)","PDG000000004.1006"
"E.coli and Shigella","NC_P17-16",,"PDT000215762.2","2017-06-05T23:22:48Z","Uganda","Poultry","environmental/other",,,,,"SAMN06848927",,"aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaEC,blaTEM-1,dfrA1,qacEdelta1,sul1,sul2,tet(A)","PDG000000004.1006"
"E.coli and Shigella","NC_P19-09",,"PDT000215763.2","2017-06-05T23:22:48Z","Uganda","Poultry","environmental/other",,,,,"SAMN06848986",,"aadA1,aadA2,blaEC,blaTEM-1,cmlA1,dfrA12,qacL,sul3,tet(A)","PDG000000004.1006"
"E.coli and Shigella","NC_P16-13",,"PDT000215764.2","2017-06-05T23:22:48Z","Uganda","Poultry","environmental/other",,,,,"SAMN06848506",,"aph(3'')-Ib,aph(6)-Id,blaEC,qnrS,sul2,tet(A)","PDG000000004.1006"
"E.coli and Shigella","NC_P17-06",,"PDT000215765.2","2017-06-05T23:22:48Z","Uganda","Poultry","environmental/other",,"PDS000033397.1",5,,"SAMN06848505",,"aadA1,aadA2,blaEC,blaTEM-1,cmlA1,dfrA12,qacL,sul3,tet(A)","PDG000000004.1006"
"E.coli and Shigella","NC_P17-17",,"PDT000215766.2","2017-06-05T23:22:49Z","Uganda","Poultry","environmental/other",,,,,"SAMN06848989",,"aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,catA1,dfrA7,qacEdelta1,sul2,tet(A)","PDG000000004.1006"
"E.coli and Shigella","NC_P16-07",,"PDT000215767.2","2017-06-05T23:22:49Z","Uganda","Poultry","environmental/other",,"PDS000033396.1",0,,"SAMN06848508",,"aadA1,aadA2,blaEC,cmlA1,dfrA12,qacL,sul3,tet(A)","PDG000000004.1006"
"E.coli and Shigella","NC_P16-03",,"PDT000215768.2","2017-06-05T23:22:49Z","Uganda","Poultry","environmental/other",,"PDS000033394.1",1,,"SAMN06848511",,"blaEC,blaTEM-1,catA1,dfrB4,qacEdelta1,sul1,tet(B)","PDG000000004.1006"
"E.coli and Shigella","NC_P15-01",,"PDT000215769.2","2017-06-05T23:22:49Z","Uganda","Poultry","environmental/other",,,,,"SAMN06848513",,"aadA1,blaEC,blaTEM,qacL,sul3,tet(A)","PDG000000004.1006"
"E.coli and Shigella","NC_P16-09",,"PDT000215770.2","2017-06-05T23:22:49Z","Uganda","Poultry","environmental/other",,"PDS000033396.1",0,,"SAMN06848507",,"aadA1,aadA2,blaEC,cmlA1,dfrA12,qacL,sul3,tet(A)","PDG000000004.1006"
"E.coli and Shigella","NC_P16-04",,"PDT000215771.2","2017-06-05T23:22:49Z","Uganda","Poultry","environmental/other",,"PDS000033397.1",5,,"SAMN06848510",,"aadA1,aadA2,blaEC,blaTEM-1,cmlA1,dfrA12,qacL,sul3,tet(A)","PDG000000004.1006"
"E.coli and Shigella","NC_P16-05",,"PDT000215772.2","2017-06-05T23:22:50Z","Uganda","Poultry","environmental/other",,"PDS000033394.1",1,,"SAMN06848509",,"blaEC,blaTEM-1,catA1,dfrB4,qacEdelta1,sul1,tet(B)","PDG000000004.1006"
"E.coli and Shigella","NC_P16-01",,"PDT000215773.2","2017-06-05T23:22:50Z","Uganda","Poultry","environmental/other",,,,,"SAMN06848512",,"aadA15,aph(3'')-Ib,aph(6)-Id,blaEC,cmlA1,qacL,qnrS1,sul3,tet(B)","PDG000000004.1006"
"E.coli and Shigella","FDA00011823",,"PDT000215882.2","2017-06-05T23:23:09Z","Canada","Wheat Flour","environmental/other",,"PDS000033337.1",2,,"SAMN07169132",,"blaEC,fosA7","PDG000000004.1006"
"E.coli and Shigella","FDA00011821",,"PDT000215883.2","2017-06-05T23:23:09Z","Canada","Wheat Flour","environmental/other",,"PDS000033337.1",0,,"SAMN07169134",,"blaEC,fosA7","PDG000000004.1006"
"E.coli and Shigella","FDA00011828",,"PDT000215884.2","2017-06-05T23:23:09Z","Canada","Wheat Flour","environmental/other",,"PDS000033338.1",0,,"SAMN07169127",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","FDA00011825",,"PDT000215885.2","2017-06-05T23:23:09Z","Canada","Wheat Flour","environmental/other",,"PDS000033338.1",0,,"SAMN07169130",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","FDA00011816",,"PDT000215887.2","2017-06-05T23:23:10Z","Canada","Wheat Flour","environmental/other",,"PDS000033337.1",0,,"SAMN07169125",,"blaEC,fosA7","PDG000000004.1006"
"E.coli and Shigella","KSC9",,"PDT000215937.1","2017-06-02T16:50:21Z","USA","porcine","environmental/other",,,,,"SAMN06093946","GCA_002163655.1","blaEC,tet(B)","PDG000000004.1006"
"E.coli and Shigella","KSC64",,"PDT000215938.1","2017-06-02T16:50:59Z","USA","porcine","environmental/other",,"PDS000017812.2",28,,"SAMN06165994","GCA_002163695.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","KSC1031",,"PDT000215939.1","2017-06-02T16:55:20Z","USA","porcine","environmental/other",,,,,"SAMN06166007","GCA_002163935.1","blaEC,tet(A)","PDG000000004.1006"
"E.coli and Shigella","KSC207",,"PDT000215940.1","2017-06-02T16:55:38Z","USA","porcine","environmental/other",,,,,"SAMN06165999","GCA_002163955.1","aadA13,blaEC,qacEdelta1,sul1,tet(B)","PDG000000004.1006"
"E.coli and Shigella","ARS-CC6335",,"PDT000215941.1","2017-06-02T17:06:35Z","USA: Pennsylvania","fecal composite","environmental/other","bovine","PDS000035380.1",48,,"SAMN06855912","GCA_002164015.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC5560",,"PDT000215942.1","2017-06-02T17:06:35Z","USA: Pennsylvania","fecal grab","environmental/other","bovine","PDS000034917.4",6,62,"SAMN06855910","GCA_002164025.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC6195",,"PDT000215943.1","2017-06-02T17:06:37Z","USA: Pennsylvania","fecal composite","environmental/other","bovine","PDS000035380.1",66,,"SAMN06855911","GCA_002164035.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC7094",,"PDT000215944.1","2017-06-02T17:06:39Z","USA: Pennsylvania","fecal composite","environmental/other","bovine","PDS000013633.2",29,,"SAMN06855914","GCA_002164045.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC5552",,"PDT000215945.1","2017-06-02T17:07:08Z","USA: Pennsylvania","fecal grab","environmental/other","bovine","PDS000034917.4",2,57,"SAMN06855907","GCA_002164095.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC5548",,"PDT000215946.1","2017-06-02T17:07:09Z","USA: Pennsylvania","fecal grab","environmental/other","bovine","PDS000034917.4",5,60,"SAMN06855904","GCA_002164105.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC5550",,"PDT000215947.1","2017-06-02T17:07:10Z","USA: Pennsylvania","fecal grab","environmental/other","bovine","PDS000034917.4",1,55,"SAMN06855906","GCA_002164115.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC5546",,"PDT000215948.1","2017-06-02T17:07:13Z","USA: Pennsylvania","fecal grab","environmental/other","bovine","PDS000034917.4",7,62,"SAMN06855903","GCA_002164125.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC5539",,"PDT000215949.1","2017-06-02T17:07:37Z","USA: Pennsylvania","trough water","environmental/other",,"PDS000034917.4",11,67,"SAMN06855901","GCA_002164175.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC5545",,"PDT000215950.1","2017-06-02T17:07:47Z","USA: Pennsylvania","fecal composite","environmental/other","bovine","PDS000034917.4",11,66,"SAMN06855902","GCA_002164185.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC5530",,"PDT000215951.1","2017-06-02T17:07:47Z","USA: Pennsylvania","flies","environmental/other",,"PDS000034917.4",5,60,"SAMN06855898","GCA_002164195.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC5526",,"PDT000215952.1","2017-06-02T17:07:48Z","USA: Pennsylvania","fecal grab","environmental/other","bovine","PDS000034917.4",3,58,"SAMN06855897","GCA_002164205.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC5525",,"PDT000215953.1","2017-06-02T17:08:02Z","USA: Pennsylvania","fecal grab","environmental/other","bovine","PDS000034917.4",5,61,"SAMN06855896","GCA_002164255.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC2248",,"PDT000215954.1","2017-06-02T17:08:16Z","USA: Pennsylvania","fecal grab","environmental/other","bovine","PDS000035382.1",45,,"SAMN06855891","GCA_002164275.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC5318",,"PDT000215955.1","2017-06-02T17:08:22Z","USA: Pennsylvania","fecal grab","environmental/other","bovine","PDS000034917.4",4,59,"SAMN06855892","GCA_002164295.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC5541",,"PDT000215956.1","2017-06-02T17:08:23Z","USA: Pennsylvania","fecal composite","environmental/other","bovine","PDS000034917.4",4,59,"SAMN06855893","GCA_002164285.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC2207",,"PDT000215957.1","2017-06-02T17:08:33Z","USA: Pennsylvania","fecal composite","environmental/other","bovine",,,,"SAMN06855890","GCA_002164335.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC2205",,"PDT000215958.1","2017-06-02T17:08:50Z","USA: Pennsylvania","fecal composite","environmental/other","bovine","PDS000035382.1",32,,"SAMN06855889","GCA_002164355.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC2203",,"PDT000215959.1","2017-06-02T17:08:56Z","USA: Pennsylvania","fecal composite","environmental/other","bovine","PDS000035382.1",32,,"SAMN06855887","GCA_002164365.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC2204",,"PDT000215960.1","2017-06-02T17:08:56Z","USA: Pennsylvania","fecal grab","environmental/other","bovine",,,,"SAMN06855888","GCA_002164375.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC2601",,"PDT000215961.1","2017-06-02T17:09:08Z","USA: Pennsylvania","fecal grab","environmental/other","bovine","PDS000035382.1",41,,"SAMN06855886","GCA_002164415.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC6338",,"PDT000215962.1","2017-06-02T17:09:29Z","USA: Pennsylvania","fecal grab","environmental/other","bovine","PDS000035380.1",48,,"SAMN06855913","GCA_002164445.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC7983",,"PDT000215963.1","2017-06-02T17:09:29Z","USA: Pennsylvania","fecal composite","environmental/other","bovine","PDS000013633.2",29,,"SAMN06855915","GCA_002164435.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC5555",,"PDT000215964.1","2017-06-02T17:09:30Z","USA: Pennsylvania","fecal grab","environmental/other","bovine","PDS000034917.4",1,56,"SAMN06855909","GCA_002164455.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC5587",,"PDT000215965.1","2017-06-02T17:09:36Z","USA: Pennsylvania","fecal grab","environmental/other","bovine","PDS000034917.4",13,68,"SAMN06855908","GCA_002164465.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC5536",,"PDT000215966.1","2017-06-02T17:10:05Z","USA: Pennsylvania","fecal composite","environmental/other","bovine","PDS000034917.4",9,64,"SAMN06855900","GCA_002164515.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC5534",,"PDT000215967.1","2017-06-02T17:10:09Z","USA: Pennsylvania","feces collected from manure pit","environmental/other","bovine","PDS000034917.4",5,60,"SAMN06855899","GCA_002164525.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC5513",,"PDT000215968.1","2017-06-02T17:10:10Z","USA: Pennsylvania","fecal grab","environmental/other","bovine","PDS000034917.4",10,65,"SAMN06855894","GCA_002164535.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","ARS-CC5517",,"PDT000215969.1","2017-06-02T17:10:14Z","USA: Pennsylvania","fecal grab","environmental/other","bovine","PDS000034917.4",2,57,"SAMN06855895","GCA_002164545.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","WCHEC1837",,"PDT000215970.1","2017-06-02T17:10:37Z","China: Sichuan, Chengdu",,"clinical","Homo sapiens","PDS000013585.5",1,,"SAMN06231252","GCA_002164595.1","aac(3)-IIa,aac(6')-Ib-cr5,aadA5,aph(3'')-Ib,aph(6)-Id,blaCTX-M-15,blaEC,blaNDM-4,blaOXA-1,ble,dfrA17,floR,mph(A),qacEdelta1,sul1,sul2,tet(A),tet(B)","PDG000000004.1006"
"E.coli and Shigella","WCHEC96200",,"PDT000215971.3","2018-08-22T21:18:40Z","China: Sichuan, Chengdu",,"clinical","Homo sapiens","PDS000013585.5",4,,"SAMN06909153","GCA_002164635.3","aac(3)-IIa,aac(6')-Ib-cr5,aadA5,aph(3'')-Ib,aph(6)-Id,blaCTX-M-15,blaEC,blaNDM-4,blaOXA-1,ble,dfrA17,floR,mph(A),qacEdelta1,sul1,sul2,tet(A),tet(B)","PDG000000004.1006"
"E.coli and Shigella","WCHEC4533",,"PDT000215972.2","2018-04-17T17:13:02Z","China: Sichuan, Chengdu",,"clinical","Homo sapiens","PDS000013585.5",1,,"SAMN06909152","GCA_002164645.2","aac(3)-IIa,aac(6')-Ib-cr5,aadA5,aph(3'')-Ib,aph(6)-Id,blaCTX-M-15,blaEC,blaNDM-4,blaOXA-1,ble,dfrA17,floR,mph(A),qacEdelta1,sul1,sul2,tet(A),tet(B)","PDG000000004.1006"
"E.coli and Shigella","WCHEC020032",,"PDT000215973.1","2017-06-02T17:12:53Z","China: Sichuan",,"clinical","Homo sapiens",,,,"SAMN06909180","GCA_002164865.1","aac(3)-IId,aadA5,blaCMY-42,blaCTX-M-3,blaEC,blaNDM-5,ble,dfrA17,erm(B),mph(A),qacEdelta1,sul1","PDG000000004.1006"
"E.coli and Shigella","SCEC020068",,"PDT000215974.1","2017-06-02T17:13:06Z","China: Sichuan",,"clinical","Homo sapiens",,,,"SAMN06909183","GCA_002164915.1","aac(3)-IV,aadA1,aadA2,aph(3'')-Ib,aph(3')-Ia,aph(4)-Ia,aph(6)-Id,blaCTX-M-14,blaCTX-M-55,blaEC,blaNDM-5,ble,catA1,cmlA1,dfrA14,floR,fosA3,mcr-1.1,mph(A),qacL,sul2,sul3,tet(A),tet(M)","PDG000000004.1006"
"E.coli and Shigella","WCHEC020028",,"PDT000215975.1","2017-06-02T17:13:17Z","China: Sichuan",,"clinical","Homo sapiens",,,,"SAMN06909179","GCA_002164935.1","blaCTX-M-15,blaEC,blaNDM-5,ble,qnrS1,sul2,tet(B)","PDG000000004.1006"
"E.coli and Shigella","SCEC020016",,"PDT000215976.1","2017-06-02T17:13:26Z","China: Sichuan",,"clinical","Homo sapiens",,,,"SAMN06909176","GCA_002164955.1","aac(3)-IId,aadA5,aph(3'')-Ib,aph(6)-Id,armA,blaCTX-M-55,blaEC,blaNDM-5,blaTEM-1,ble,dfrA1,dfrA17,floR,mph(A),mph(E),msr(E),qepA1,rmtB1,sul1,sul2,tet(A)","PDG000000004.1006"
"E.coli and Shigella","SCEC020026",,"PDT000215977.1","2017-06-02T17:13:34Z","China: Sichuan",,"clinical","Homo sapiens",,,,"SAMN06909178","GCA_002164975.1","aac(3)-IId,aac(6')-Ib-cr5,aadA5,aph(3'')-Ib,aph(6)-Id,blaCMY-2,blaCTX-M-15,blaEC,blaNDM-5,blaOXA-1,blaTEM-1,ble,dfrA17,mph(A),qacEdelta1,sul1,sul2,tet(B)","PDG000000004.1006"
"E.coli and Shigella","WCHEC7",,"PDT000215978.1","2017-06-02T17:13:39Z","China: Sichuan",,"clinical","Homo sapiens","PDS000018164.1",0,,"SAMN06909175","GCA_002164985.1","aadA2,aadA5,blaEC,blaNDM-5,blaTEM-1,ble,dfrA12,dfrA17,mph(A),qacEdelta1,rmtB1,sul1,tet(A)","PDG000000004.1006"
"E.coli and Shigella","SCEC020005",,"PDT000215979.1","2017-06-02T17:13:46Z","China: Sichuan",,"clinical","Homo sapiens",,,,"SAMN06909174","GCA_002165005.1","aac(3)-IId,aadA2,aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaEC,blaNDM-5,blaTEM-1,ble,bleO,dfrA12,mph(A),oqxA,oqxB,qacEdelta1,qepA1,rmtB1,sul2,tet(A)","PDG000000004.1006"
"E.coli and Shigella","SCEC020004",,"PDT000215980.1","2017-06-02T17:14:05Z","China: Sichuan",,"clinical","Homo sapiens","PDS000035379.1",38,,"SAMN06909173","GCA_002165035.1","aac(3)-IId,aac(6')-Ib-cr5,aadA5,aph(3'')-Ib,aph(6)-Id,blaCTX-M-14,blaEC,blaNDM-5,blaTEM-1,ble,dfrA17,floR,fosA3,mph(A),qacEdelta1,sul2,tet(B)","PDG000000004.1006"
"E.coli and Shigella","SCEC020066",,"PDT000215981.1","2017-06-02T17:14:11Z","China: Sichuan",,"clinical","Homo sapiens",,,,"SAMN06909182","GCA_002165045.1",,"PDG000000004.1006"
"E.coli and Shigella","WCHEC020033",,"PDT000215982.1","2017-06-02T17:14:13Z","China: Sichuan",,"clinical","Homo sapiens","PDS000004673.4",29,,"SAMN06909181","GCA_002165055.1","aac(3)-IIa,aadA5,aph(3'')-Ib,aph(6)-Id,blaCMY-42,blaEC,blaNDM-5,blaTEM-1,ble,dfrA17,erm(B),floR,mph(A),qacEdelta1,sul1,sul2,tet(A)","PDG000000004.1006"
"E.coli and Shigella","SCEC020022",,"PDT000215983.1","2017-06-02T17:14:26Z","China: Sichuan",,"clinical","Homo sapiens",,,,"SAMN06909177","GCA_002165095.1","aac(6')-Ib-cr5,aadA16,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-14,blaEC,blaNDM-5,blaTEM-1,ble,dfrA27,floR,fosA3,mcr-1.1,qacEdelta1,sul1,sul2,tet(A)","PDG000000004.1006"
"E.coli and Shigella","SCEC020001",,"PDT000215984.1","2017-06-02T17:14:34Z","China: Sichuan",,"clinical","Homo sapiens",,,,"SAMN06909172","GCA_002165115.1","aac(6')-Ib-cr5,blaEC,blaNDM-5,blaOXA-1,ble,tet(A)","PDG000000004.1006"
"E.coli and Shigella","ARS-CC5549",,"PDT000215985.1","2017-06-02T17:16:57Z","USA: Pennsylvania","fecal grab","environmental/other","bovine","PDS000034917.4",13,68,"SAMN06855905","GCA_002165415.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","11.1a",,"PDT000215986.1","2017-06-05T10:55:08Z","USA: WA, Seattle","urine","clinical","Homo sapiens","PDS000013580.1",19,,"SAMN06856374","GCA_002165925.1","blaEC","PDG000000004.1006"
