Murray Collection Identifier	Alternative NCTC accession number (if applicable)	Strain name	Date on  tube 	Year	Genus	Designation	Origin	Colony variants (Canada) 	Original number	Date freeze-dried in NCTC 	Colony derivatives (UK)	Equivalence group	No. of plasmids	Plasmid A MW	Plasmid B MW	Plasmid C MW	Plasmid D MW	Plasmid E MW	Plasmid F MW	Plasmid G MW	16S rRNA ID result	MALDI-TOF ID Result	Positive Polyvalent antisera	Sequenced (see Table S2)
M112		US F&D (Hopkins) 	30/10/1937	1937	Salmonella	S. typhi 			112	15/09/1980	Poor growth	M112 M553	ND								N/A	Culture not found	N/A	No
M113		Toner X 	21/10/1924	1924	Shigella	Sh. flexneri X 			113	03/09/1980			0								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M114		DV	13/08/1921	1921	Shigella	Sh. sp. 			114	03/09/1980	Both L and S colony types		ND											Yes
M115		Crespigny	30/06/1926	1926	Shigella	Sh. dysenteriae 1			115	03/09/1980			ND										N/A	No
M116		Barsick	18/02/1919	1919	Shigella	Sh. dysenteriae 1			116	03/09/1980			ND										N/A	Yes
M117		Hamilton	18/02/1919	1919	Shigella	Sh. dysenteriae 1			117	03/09/1980			ND										N/A	No
M118		Parker 16	18/02/1919	1919	Shigella	Sh. dysenteriae 1			118	03/09/1980			ND										N/A	No
M119		Parker 17 	18/02/1919	1919	Shigella	Sh. dysenteriae 1			119	03/09/1980			ND										N/A	No
M12		D 574	10/02/1939	1939	Salmonella	S. typhi Vi 			12	15/09/1980		M12 M455 M456 M461	0								Salmonella enterica	Salmonella sp	N/A	Yes
M120		Para Shiga 4 Orig	26/04/1919	1919	Shigella	Sh. dysenteriae 2			120	08/09/1980			2	103	1.4								N/A	No
M121		E 2451 ? Para B 	11/06/1940	1940	Salmonella	S. paratyphi B ?	Stool/enteritis		121	15/09/1980			0										N/A	Yes
M122		53219 - V 	20/03/1934	1934	Salmonella	S. sp. 			122	08/09/1980		M122 M360	ND											No
M123		Orig. Basenau	-/12/35	1935	Salmonella	S. bovis morbificans			123	08/09/1980			1	86							Salmonella enterica	Salmonella sp	N/A	Yes
M124	13675	E 2748 Forester	24/06/1940	1940	Klebsiella	Kl. sp 	Sputum/pneumonia		124	08/09/1980			ND								Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M125		53224	05/02/1934	1934	Escherichia	E. coli (haemolytic)		Large variant	125L	08/09/1980	Both same size	M125 M126	0								N/A	Culture not found	N/A	No
M126		53224	05/02/1934	1934	Escherichia	E. coli (haemolytic)		Small variant	126S	08/09/1980	Both same size	M125 M126	0								Morganella morganii	Morganella morganii	N/A	No
M127		Norris	14/01/1934	1934	Escherichia	E. coli (haemolytic)	Urine	Large variant	127L	08/09/1980	Both same size	M127 M128 	0								Escherichia coli	Escherichia coli	N/A	Yes
M128		Norris	14/01/1934	1934	Escherichia	E. coli (haemolytic)	Urine	Small variant	128S	08/09/1980	Both same size	M127 M128 	0								Escherichia coli	Escherichia coli	N/A	Yes
M129		O135 (Thjotta) 	11/12/1919	1919	Shigella	Sh. flexneri W (2a) 			129	08/09/1980			ND								Enterobacteriaceae family (Shigella/ E. coli)	Esherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M13		901 '0'	05/05/1941	1941	Salmonella	S. typhi 	Blood culture		13	15/09/1980		M13 M458 	0								Salmonella enterica	Salmonella sp	N/A	Yes
M130		Gladden 	-/12/35	1935	Salmonella	S. bovis morbificans			130	08/09/1980			1	50							Salmonella enterica	Salmonella sp	N/A	Yes
M131		NCTC 3071 (disc) 	07/09/1938	1938	Salmonella	S. anatum			131	08/09/1980		M131 M575	1	78							Salmonella enterica	Salmonella sp	N/A	Yes
M132		NCTC 3158	07/09/1938	1938	Salmonella	S. seftenberg			132	08/09/1980		M132 M444	0								Salmonella enterica	Salmonella sp	N/A	Yes
M133		NCTC 4776 	07/09/1938	1938	Salmonella	S. enteritidis 			133	08/09/1980		M133 M446	1	58							Salmonella enterica	Salmonella sp	N/A	Yes
M134		NCTC 4166 (disc) 	07/09/1938	1938	Salmonella	S. heidelberg		Large variant	134L	08/09/1980	134 grows better than 135	M134 M135	0								Salmonella enterica	Salmonella sp	N/A	Yes
M135		NCTC 4166 (disc) 	07/09/1938	1938	Salmonella	S. heidelberg		Small variant	135S	08/09/1980	134 grows better than 135	M134 M135	0								Salmonella enterica	Salmonella sp.	N/A	Yes
M136		Oxford	04/03/1943	1943	Salmonella	S. flexneri V (1a) 			136	08/09/1980		M36 M136	3	2.2	1.7	1.2								No
M137		B 3156	23/09/1937	1937	Shigella	Sh. sonnei 			137	08/09/1980			1	32							Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M138		NCTC 4785	07/09/1938	1938	Salmonella	S. eastbourne			138	08/09/1980		M138 M421	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M139		NCTC 4948 (disc) 	07/09/1938	1938	Salmonella	S. hvittingfoss			139	08/09/1980		M139 M447 M448 	0								Salmonella enterica	Salmonella sp	N/A	Yes
M14		Buzzard	01/11/1937	1937	Salmonella	S.typhi			14	15/09/1980			0								Salmonella enterica	Salmonella sp	N/A	Yes
M140		Clitheroe	-/12/35	1935	Salmonella	S. typhimurium 			140	08/09/1980			ND								Salmonella enterica	Salmonella sp	N/A	Yes
M141		NCTC 3748 (disc) 	07/09/1938	1938	Salmonella	S. virchow			141	08/09/1980		M141 M438 	1	62							Salmonella enterica	Salmonella sp	N/A	Yes
M142		58734 Sinclair	26/09/1935	1935	Escherichia	E. coli (haemolytic)	Stool	Rough variant	142R	08/09/1980	142 Smo 143 R	M142 M143	7	50	5.4	4.6	3.7	2.6	2.1	1.8	N/A	No Growth	N/A	No
M143		58734 Sinclair	26/09/1935	1935	Escherichia	E. coli (haemolytic)	Stool	Smooth variant	143Smo	08/09/1980	142 Smo 143 R	M142 M143	7	50	5.4	4.6	3.7	2.6	2.1	1.8	Escherichia coli	Escherichia coli	N/A	Yes
M144		48012	05/04/1940	1940	Klebsiella	Kl. sp. 	Appendix abscess		144	08/09/1980			2	62	56						Escherichia coli	Escherichia coli	N/A	Yes
M145		4049	01/02/1920	1920	Shigella	Sh. sp. 			145	08/09/1980			5	100	74	60	36	25						No
M146		Schmitz 13	03/10/1919	1919	Shigella	Sh. dysenteriae 2			146	08/09/1980		M146 M252 M298 M299	5	84	4.6	2.9	2.7	1.4					N/A	No
M147		Harrison 	14/07/1919	1919	Shigella	Sh. dysenteriae 2			147	08/09/1980			5	84	4.6	2.9	2.7	1.4					N/A	No
M148		Whittington	10/06/1918	1918	Shigella	Sh. flexneri Z (3a) 			148	08/09/1980			ND								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M149		Glasgow	-/12/35	1935	Salmonella	S. typhimurium			149	08/09/1980			2	82	34						Salmonella enterica	Salmonella sp	N/A	Yes
M15		57570	8/6/-	ND	Salmonella	S. typhi	Blood culture Ramsden WOB		15	15/09/1980			0								Salmonella enterica	Salmonella sp	N/A	Yes
M150		D.J. 	27/08/1928	1928	Shigella	Sh. sp. 			150	08/09/1980			2	94	3									No
M151		9404-1	03/01/1939	1939	Salmonella	S. london		Rough variant	151R	08/09/1980		M151 M152	1	23							Salmonella enterica	Salmonella sp.	N/A	Yes
M152		9404-1	03/01/1939	1939	Salmonella	S. london		Smooth variant	152Smo	08/09/1980		M151 M152	1	23							Salmonella enterica	Salmonella sp.	N/A	Yes
M153		Rowlands	07/05/1931	1931	Salmonella	S. paratyphi B			153	15/09/1980		M98 M153 	0								Not tested	Salmonella sp.	N/A	Yes
M154		9662 - 1 	03/01/1939	1939	Salmonella	S. bareilly			154	10/09/1980			3	1.9	1.8	1.4					Salmonella enterica	Salmonella sp.	N/A	No
M155		9649	03/01/1938	1938	Salmonella	S. typhimurium var. binns		Large variant	155L	10/09/1980		M155 M156	3	200	84	43					Salmonella enterica	Salmonella sp.	N/A	Yes
M156		9649	03/01/1938	1938	Salmonella	S. typhimurium var. binns		Small variant	156S	10/09/1980		M155 M156	ND								Salmonella enterica	Salmonella sp.	N/A	Yes
M157		Witts Bl	04/01/1932	1932	Salmonella	S. paratyphi C			157	15/09/1980		M5 M67 M157	1	38									N/A	No
M158		Schmitz Haines Class II 	05/10/1919	1919	Shigella	Sh. dysenteriae 2			158	10/09/1980			5	84	4.6	2.9	2.7	1.4					N/A	No
M159		Shiga 7 	12/05/1919	1919	Shigella	Sh. dysenteriae 1			159	15/09/1980		M61 M62 M159	ND										N/A	Yes
M16		A 3932	15/12/1936	1936	Salmonella	S. typhi			16	15/09/1980			0								Salmonella enterica	Salmonella sp	N/A	Yes
M160		Dean I 	29/08/1918	1918	Shigella	Sh. dysenteriae 1			160	10/09/1980		M160 M213	0										N/A	No
M161		6067	15/07/1919	1919	Shigella	Sh. flexneri Y			161	10/09/1980			ND								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M162		E 4006 	20/09/1940	1940	Klebsiella	Kl. sp. Friedlander			162	17/09/1980		M45 M162	ND								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M163		E746	30/11/1933	1933	Escherichia	E. coli (haemolytic)	Cerebrospinal fluid	Large variant	163L	17/09/1980		M163 M164 	4	2.9	2.5	1.8	1.5				Escherichia coli	Escherichia coli	N/A	Yes
M164		E746	30/11/1933	1933	Escherichia	E. coli (haemolytic)	Cerebrospinal fluid	Small variant	164S	17/09/1980		M163 M164 	3	2.9	1.8	1.5					N/A	Culture not found	N/A	No
M165		Shiga 15 	18/07/1930	1930	Shigella	Sh. dysenteriae 1		Large variant	165L 	29/09/1980	Both same size	M165 M166	ND										N/A	No
M166		Shiga 15	18/07/1930	1930	Shigella	Sh. dysenteriae 1		Small variant	166S	29/09/1980	Both same size	M165 M166	ND										N/A	No
M167		1463 D	04/03/1943	1943	Shigella	Sh. flexneri Newcastle		Large variant	167L	17/09/1980	Both same size	M167 M168	ND								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M168		1463 D	04/03/1943	1943	Shigella	Sh. flexneri Newcastle		Small variant	168S	17/09/1980	Both same size	M167 M168	1	200										No
M169		Oxford Y 	10/03/1943	1943	Shigella	Sh. flexneri Y		Large variant	169L	17/09/1980		M57 M169 M170 M174	1	130										No
M17		Stanley 	-/12/35	1935	Salmonella	S. stanley 			17	01/09/1980			0								Salmonella enterica	Salmonella sp	N/A	Yes
M170		Oxford Y 	10/03/1943	1943	Shigella	Sh. flexneri Y		Small variant	170S	17/09/1980		M57 M169 M170 M174	1	130										No
M171		67 B - E 	08/01/1941	1941	Shigella	probably Sh. sonnei	Stool	Opaque variant	171O	17/09/1980		M171 M172 M191	3	64	1.7	1								No
M172		Sh. madampensis 	08/01/1941	1941	Shigella	probably Sh. sonnei	Stool	Translucent variant	172T	17/09/1980		M171 M172 M191	4	64	2.7	1.8	1							No
M173		Newcastle N.Y.C. 	04/03/1943	1943	Shigella	Sh. flexneri Newcastle			173	17/09/1980			ND								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M174		Oxford Y 	10/06/1918	1918	Shigella	Sh. flexneri Y			174	17/09/1980		M57 M169 M170 M174	1	85							Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M175	13676	F221	16/01/1941	1941	Klebsiella	Kl. sp. Friedlander A	Pneumonia		175	27/10/1980			3	70	11	4.1					Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M176	13677	56289 (2) 	25/02/1935	1935	Klebsiella	Kl. sp. Friedlander			176	17/09/1980		M42 M176 M665	ND								Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M177		Andrews	05/05/1941	1941	Escherichia	E. alkalescens			177	17/09/1980			4	54	23	4.8	1.8				Escherichia coli	Escherichia coli	N/A	Yes
M178		19 A E 	16/04/1925	1925	Shigella	Sh. sp. 			178	17/09/1980			ND											Yes
M179		European SF 8 	-/12/35	1935	Salmonella	S. choleraesuis var Kunzendorf			179	17/09/1980		M55 M179	1	26							Enterobacteriaceae family (Shigella/ E. coli)	Salmonella sp	N/A	Yes
M180A		NCTC 3378	07/09/1938	1938	Salmonella	S. eastbourne		Large variant	180A L 	21/09/1980	Colony variants found: M180A L M180B L&S 	M180A M180B M504	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M180B		NCTC 3378	07/09/1938	1938	Salmonella	S. eastbourne		Large and small variant	180B S	21/09/1980	Colony variants found: M180A L M180B L&S 	M180A M180B M504	ND											Yes
M181		Sincos	18/02/1918	1918	Shigella	Sh. flexneri Y 			181	29/09/1980		M92 M93 M181	2	500	105						Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M182		Fletcher	14/07/1919	1919	Shigella	Sh. dysenteriae 2			182	29/09/1980			3	92	2.5	1.2							N/A	No
M183		Hawkins	30/07/1919	1919	Shigella	Sh. dysenteriae 2			183	29/09/1980			2	125	40								N/A	Yes
M184		Hughes	12/06/1918	1918	Shigella	Sh. flexneri X			148	29/09/1980			1	82							Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M185		Dean II	12/05/1919	1919	Shigella	Sh. dysenteriae 1			185	29/09/1980			ND										N/A	No
M186		Webb	-/2/19	1919	Shigella	Sh. dysenteriae 1		Large variant	186L	29/09/1980	Both same size	M186 M187 	ND										N/A	No
M187		Webb	-/2/19	1919	Shigella	Sh. dysenteriae 1		Small variant	187S	29/09/1980	Both same size	M186 M187 	ND										N/A	No
M188		Kitson	18/02/1919	1919	Shigella	Sh. dysenteriae 1			188	29/09/1980			ND										N/A	Yes
M189		Baldwin	18/02/1919	1919	Shigella	Sh. dysenteriae 1 			189	29/09/1980			ND										N/A	No
M19		49677	05/04/1940	1940	Aerogenes	Aerogenes group	Bile in obstructive jaundice and cholestasis		19	01/09/1980			1	16							N/A	Failed to Grow	N/A	Yes
M190		1210	07/12/1917	1917	Shigella	Sh. flexneri Y 			190	29/09/1980			1	85							Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M191		67 B E 	06/04/1925	1925	Shigella	probably Sh. sonnei	Stool		191	29/09/1980		M171 M172 M191	4	64	2.7	1.8	1							No
M192		Nargensen (?Morgensen)	08/04/1925	1925	Shigella	Sh. flexneri W (2a) 		Large variant	192L	29/09/1980	Both same size	M192 M193	ND											No
M193		Nargensen (?Morgensen)	08/04/1925	1925	Shigella	Sh. flexneri W (2a) 		Small variant	193S	29/09/1980	Both same size	M192 M193	1	48							Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M194		Maltos	08/04/1925	1925	Shigella	Sh. sp 			194	29/09/1980			ND											No
M195		NCTC 3083 (disc)	07/10/1940	1940	Shigella	Sh. flexneri Newcastle			195	29/09/1980			ND								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M196		B 3247	23/09/1937	1937	Shigella	Sh. sonnei 		Large variant	196L	29/09/1980	Both same size	M196 M197 	ND								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella sonnei Phase 1 + 2	Yes
M197		B3247	23/09/1937	1937	Shigella	Sh. sonnei 		Small variant	197S	29/09/1980	Both same size	M196 M197 	ND											No
M198		C 8187 2A	23/09/1937	1937	Shigella	Sh. sonnei 		Large variant	198L	29/09/1980	Both same size	M198 M199	4	68	7	2.9	1.3				Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella sonnei Phase 1 + 2	Yes
M199		C 8187 2A	23/09/1937	1937	Shigella	Sh. sonnei 		Small variant	199S	29/09/1980	Both same size	M198 M199	ND											No
M2		Stokes	04/08/1925	1925	Salmonella	S.enteritidis 		Small variant	2S	01/09/1980		M1 M2 M479 M483 M484	1	35							Salmonella enterica	Salmonella sp	N/A	Yes
M20		55041 Halfkinny 	24/09/1934	1934	Coliform	Coliform 	"Blood culture, puerpural sepsis"		20	01/09/1980			1	71							Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Not tested	Yes
M200		B 593 Type I 	17/04/1954	1954	Shigella	Sh. sonnei 			200	29/09/1980			4	68	7	2.9	1.3				Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella sonnei Phase 1 + 2	Yes
M201		-	07/09/1938	1938	Salmonella	S. thompson var berlin			201	29/09/1980			0								Salmonella enterica	Salmonella sp	N/A	Yes
M202		NCTC 3213 A (disc) 	07/09/1938	1938	Salmonella	S. bareilly 		Large variant	202L 	29/09/1980		M202 M203 M445	0								Salmonella enterica	Salmonella sp	N/A	Yes
M203		NCTC 3213 A (disc) 	07/09/1938	1938	Salmonella	S. bareilly		Small variant	203S	29/09/1980		M202 M203 M445	0								Salmonella enterica	Salmonella sp	N/A	Yes
M204		NCTC 4723 (disc) 	07/09/1938	1938	Salmonella	S. enteritidis var. chaco		Large variant	204L	29/09/1980		M204 M205 M578	2	38	30									Yes
M205		NCTC 4723 (disc) 	07/09/1938	1938	Salmonella	S. enteritidis var. chaco		Small variant	205S	29/09/1980		M204 M205 M578	2	38	30									No
M206		Bagdad 31	-/12/35	1935	Salmonella	S. paratyphi C		Large variant	206L	29/09/1980		M97 M206 M207 M555	1	38									N/A	No
M207		Bagdad 31	-/12/35	1935	Salmonella	S. paratyphi C		Small variant	207S	29/09/1980		M97 M206 M207 M555	1	42									N/A	No
M208		Derby	-/12/35	1935	Salmonella	S. derby			208	29/09/1980			0								Salmonella enterica	Salmonella sp	N/A	Yes
M209		Reading	-/12/35	1935	Salmonella	S. reading		Large variant	209L	29/09/1980	Both same size	M209 M210 	0									No Growth	N/A	No
M21		R.A.M	06/09/1917	1917	Salmonella	S. typhimurium		Large/Small variant	21 L/S	01/09/1980		M21 M22	1	22							Salmonella enterica	Salmonella sp	N/A	No
M210		Reading	-/12/35	1935	Salmonella	S. reading		Small variant	210S	29/09/1980	Both same size	M209 M210 	0								Salmonella enterica	Salmonella sp	N/A	Yes
M211		Whitby	14/07/1919	1919	Shigella	Sh. dysenteriae 2		Large variant	211L	29/09/1980	M212 L and S 	M211 M212	2	125	3.7								N/A	No
M212		Whitby	14/07/1919	1919	Shigella	Sh. dysenteriae 2		Small variant	212S	29/09/1980	M212 L and S 	M211 M212	3	125	2.4	1.3							N/A	No
M213		Dean I 	22/03/1919	1919	Shigella	Sh. dysenteriae 1			213	29/09/1980		M160 M213	ND										N/A	No
M214		Adamson Italy	20/05/1919	1919	Shigella	Sh. dysenteriae 2	Italian epidemic 1918 	Large variant	214L	29/09/1980	"M214 O, M215 T"	M214 M215	2	94	3.4								N/A	No
M215		Adamson Italy	20/05/1919	1919	Shigella	Sh. dysenteriae 2	Italian epidemic 1918 	Small variant	215S	29/09/1980	"M214 O, M215 T"	M214 M215	2	94	3.4								N/A	No
M216		Jones	18/02/1919	1919	Shigella	Sh. dysenteriae 1			216	29/09/1980			ND										N/A	No
M217		Addington B 	30/03/1919	1919	Shigella	probably Sh. dysenteriae 1			217	29/09/1980			ND										N/A	No
M218		Addington A 	30/03/1919	1919	Shigella	Sh. dysenteriae 1			218	29/09/1980			ND										N/A	No
M22		R.A.M	06/09/1917	1917	Salmonella	S. typhimurium		Small variant	22 S	01/09/1980		M21 M22	1	19							Salmonella enterica	Salmonella sp	N/A	Yes
M220		Blood Class T 	05/10/1919	1919	Shigella	Sh. dysenteriae 1		Large variant	220L	29/09/1980		M220 M221	ND										N/A	No
M221		Blood Class T	05/10/1919	1919	Shigella	Sh. dysenteriae 1		Small variant	221S	29/09/1980		M220 M221	0										N/A	No
M222		K 624	18/07/1930	1930	Shigella	Sh. dysenteriae 1			222	29/09/1980			ND										N/A	No
M223		Craigie D2	09/11/1939	1939	Salmonella	S. typhi		Large variant	223L	29/09/1980	N.B. Small variant is M324	M223 M324	ND								N/A	Culture not found	N/A	No
M224		C 8120	23/09/1937	1937	Shigella	Sh. sonnei 			224	29/09/1980			ND								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella sonnei Phase 1 + 2	Yes
M225		NCTC 3293 (disc) 	07/09/1938	1938	Salmonella	S. abortusovis		Large variant	225L	29/09/1980	Both same size	M225 M226	0								Salmonella enterica	Salmonella sp	N/A	Yes
M226		NCTC 3293 (disc) 	07/09/1938	1938	Salmonella	S. abortusovis		Small variant	226S	29/09/1980	Both same size	M225 M226	0								Salmonella enterica	Salmonella sp.	N/A	Yes
M227		Indiana 49 	-/12/35	1935	Salmonella	S. cholerasuis			227	06/10/1980			0									Salmonella sp.	N/A	Yes
M228		Swanson Bedi 		ND	Escherichia	E. coli (haemolytic)	Stool		228	06/10/1980			2	5	2.8						Escherichia coli	Escherichia coli	N/A	Yes
M23		Brewer	03/08/1925	1925	Salmonella	S. paratyphi A 		Large variant	23L 	15/09/1980		M23 M24	0										N/A	Yes
M231		1460	13/08/1921	1921	Shigella	Sh. flexneri 			231	06/10/1980			ND								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M232		34 A 	13/08/1921	1921	Shigella	Sh. sp	Stool		232	06/10/1980			1	1.1										Yes
M233		Ogg Z 	22/02/1933	1933	Shigella	Sh. flexneri Z (3a) 		Large variant	233L	06/10/1980		M233 M234	ND								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	No agglutination	Yes
M234		Ogg Z 	22/02/1933	1933	Shigella	Sh. flexneri Z (3a) 		Small variant	234S	06/10/1980		M233 M234	1	84										No
M235		Flex. Lister	02/05/1921	1921	Shigella	Sh. flexneri		Large variant	235L	07/10/1980		M235 M236	ND								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M236		Flex. Lister	02/05/1921	1921	Shigella	Sh. flexneri		Small variant	236S	06/10/1980		M235 M236	ND											No
M237		Newcastle	10/03/1943	1943	Shigella	Sh. flexneri Newcastle		Large variant	237L	06/10/1980	Both same size	M237 M238	1	66							Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M238		Newcastle	10/03/1943	1943	Shigella	Sh. flexneri Newcastle		Small variant	238S	07/10/1980	Both same size	M237 M238	1	66										No
M239		C 3190 2	23/09/1937	1937	Shigella	Sh. sonnei			239	06/10/1980			4	68	7	2.9	1.3				Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella sonnei Phase 1 + 2	Yes
M24		Brewer	03/08/1925	1925	Salmonella	S. paratyphi A 		Small variant	24S	15/09/1980		M23 M24	1	22									N/A	No
M240		C 8284 	23/09/1937	1937	Shigella	Sh. sonnei			240	06/10/1980			4	68	7	2.9	1.3				Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella sonnei Phase 1 + 2	Yes
M242		86 A 	27/08/1918	1918	Shigella	Sh. sp. 			242	17/11/1980			ND											No
M243		NCTC 397 (disc) 	07/09/1938	1938	Salmonella	S. pullorum			243	07/10/1980		M243 M625	ND									No Growth	N/A	Yes
M244		Hog cholera XII	-/12/35	1935	Salmonella	S. cholerasuis			244	07/10/1980			0									Salmonella sp.	N/A	Yes
M245		C 8277 2	23/09/1937	1937	Shigella	Sh. sonnei			245	06/10/1980		M245 M671 M672	3	32	3	1					Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	No agglutination	Yes
M246		P.A. I. (specific) 	19/05/1941	1941	Salmonella	S. sendai 		Large variant	246L	07/10/1980		M246 M247 M354 M355 M556	1	48							Salmonella enterica	Salmonella sp	N/A	Yes
M247		P.A. I. (specific) 	19/05/1941	1941	Salmonella	S. sendai 		Small variant	247S	07/10/1980		M246 M247 M354 M355 M556	1	48							Salmonella enterica	Salmonella sp	N/A	Yes
M248		Paracoli	-/12/35	1935	Salmonella	S. dublin			248	06/10/1980			1	43							Salmonella enterica	Salmonella sp	N/A	Yes
M249		Holden 128619	07/09/1918	1918	Shigella	Sh. flexneri			249	07/10/1980			0									Esherichia coli	no agglutination	Yes
M25		Superpestifer II	14/12/1926	1926	Salmonella	S. sp			25	01/09/1980		M9 M25 M381 M382	1	33										No
M250		C 8190 1 	23/09/1937	1937	Shigella	Sh. sonnei			250	07/10/1980			ND								Enterobacteriaceae family (Shigella/ E. coli)	Esherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
