uberstrain	name	data.source.accession.no..sequencing.platform.sequencing.library.insert.size.experiment.status.	source.niche	source.type	source.details	collection.year	collection.month	collection.day	collection.time	continent	country	region	district	city	post.code	latitude	longitude	lab.contact	species	serological.group	serotype	ecor.cluster	pathogen.non.pathogen	simple.patho	simple.disease	comment	bio.project.id	project.id	disease	sample.id	secondary.sample.id	date.entered	release.date	barcode	status	coverage	n50	length	species.1	contig.number...200.bp.	low.quality.bases	assembly.barcode	version
esc_aa7817aa	bidmc101	srr2135098;illumina;paired;180;srx1118319,srr2127506;illumina;paired;652;srx1118339,srr2127482;illumina;paired;180;srx1118319,srr2135205;illumina;paired;652;srx1118339	human	human	homo sapiens	2014	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	broad institute	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna271899	srp051949	nd	samn03280209	srs1011279	2015-08-27	2015-07-25	esc_aa7817aa	assembled	NA	114725	5098866	escherichia coli / shigella;98.91%	196	2786	esc_ca6574aa_as	2.2
esc_aa7818aa	bwh60	srr2127494;illumina;paired;180;srx1118310,srr2127469;illumina;paired;180;srx1118310,srr2135154;illumina;paired;594;srx1118133,srr2127286;illumina;paired;594;srx1118133	human	human	homo sapiens	2014	nd	nd	nd	north america	united states	nd	nd	nd	nd	nd	nd	broad institute	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna271899	srp051949	nd	samn03280201	srs1011131	2015-08-27	2015-07-25	esc_aa7818aa	assembled	NA	174093	5234695	escherichia coli / shigella;98.36%	256	3348	esc_ca6110aa_as	2.2
esc_aa7819aa	bidmc102	srr2135051;illumina;paired;180;srx1118203,srr2135459;illumina;paired;623;srx1118295,srr2127364;illumina;paired;180;srx1118203,srr2127489;illumina;paired;623;srx1118295	human	human	homo sapiens	2014	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	broad institute	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna271899	srp051949	nd	samn03280210	srs1011209	2015-08-27	2015-07-25	esc_aa7819aa	assembled	NA	110599	5076700	escherichia coli / shigella;98.51%	213	3563	esc_ca4522aa_as	2.2
esc_aa7820aa	bidmc112	srr2127436;illumina;paired;180;srx1118273,srr2135193;illumina;paired;180;srx1118273,srr2135279;illumina;paired;728;srx1118132,srr2127285;illumina;paired;728;srx1118132	human	human	homo sapiens	2014	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	broad institute	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna271899	srp051949	nd	samn03280216	srs1011124	2015-08-27	2015-07-25	esc_aa7820aa	assembled	NA	89744	5089190	escherichia coli / shigella;98.95%	215	3073	esc_ca2042aa_as	2.2
esc_aa7821aa	mgh122	srr2127426;illumina;paired;841;srx1118265,srr2131503;illumina;paired;841;srx1118265,srr2132936;illumina;paired;180;srx1118156,srr2127312;illumina;paired;180;srx1118156	human	human	homo sapiens	2014	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	broad institute	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna271899	srp051949	nd	samn03280206	srs1011139	2015-08-27	2015-07-25	esc_aa7821aa	assembled	NA	216639	5372862	escherichia coli / shigella;100.0%	206	4134	esc_ca6495aa_as	2.2
esc_aa7822aa	bidmc105	srr2127361;illumina;paired;180;srx1118201,srr2135452;illumina;paired;180;srx1118201,srr2131467;illumina;paired;785;srx1122059,srr2131477;illumina;paired;785;srx1122059	human	human	homo sapiens	2014	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	broad institute	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna271899	srp051949	nd	samn03280213	srs1011211	2015-08-27	2015-07-25	esc_aa7822aa	assembled	NA	211314	5158791	escherichia coli / shigella;99.15%	133	2250	esc_ca1999aa_as	2.2
esc_aa8628aa	461_09	srr2036124;illumina;paired;;srx1036312	human	human	human; homo sapiens	2009	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o26:h11	nd	nd	nd	nd	nd	prjna259827	srp058580	nd	samn03704037	srs943474	2015-08-27	2015-05-22	esc_aa8628aa	assembled	NA	115278	5620810	escherichia coli / shigella;99.4%	401	4655	esc_ba5573aa_as	2.2
esc_aa8634aa	181_09	srr2035432;illumina;paired;;srx1035601	human	human	human; homo sapiens	2009	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o26:h11	nd	nd	nd	nd	nd	prjna259827	srp058580	nd	samn03703997	srs942974	2015-08-27	2015-05-22	esc_aa8634aa	assembled	NA	118067	5561291	escherichia coli / shigella;100.0%	347	4456	esc_ca1107aa_as	2.2
esc_aa8637aa	2270-502_12	srr2035404;illumina;paired;;srx1035570	human	human	human; homo sapiens	2012	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o26:h11	nd	nd	nd	nd	nd	prjna259827	srp058580	nd	samn03703972	srs942956	2015-08-27	2015-05-22	esc_aa8637aa	assembled	NA	75501	5450425	escherichia coli / shigella;98.64%	237	2888	esc_aa9419aa_as	2.2
esc_aa8639aa	460_09	srr2035403;illumina;paired;;srx1035569	human	human	human; homo sapiens	2009	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o26:h11	nd	nd	nd	nd	nd	prjna259827	srp058580	nd	samn03703971	srs942952	2015-08-27	2015-05-22	esc_aa8639aa	assembled	NA	114262	5644612	escherichia coli / shigella;100.0%	384	6204	esc_ba3176aa_as	2.2
esc_aa8640aa	680_13	srr2035402;illumina;paired;;srx1035567	human	human	human; homo sapiens	2013	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o26:h11	nd	nd	nd	nd	nd	prjna259827	srp058580	nd	samn03703970	srs942953	2015-08-27	2015-05-22	esc_aa8640aa	assembled	NA	97574	5754461	escherichia coli / shigella;97.26%	408	7773	esc_ba0620aa_as	2.2
esc_aa8642aa	626_12	srr2035399;illumina;paired;;srx1035564	human	human	human; homo sapiens	2012	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o26:h11	nd	nd	nd	nd	nd	prjna259827	srp058580	nd	samn03703969	srs942951	2015-08-27	2015-05-22	esc_aa8642aa	assembled	NA	101082	5708692	escherichia coli / shigella;99.39%	360	6612	esc_ba9064aa_as	2.2
esc_aa8644aa	624_12	srr2035377;illumina;paired;;srx1035538,srr2120774;illumina;paired;;srx1035538	human	human	human; homo sapiens	2012	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o26:h11	nd	nd	nd	nd	nd	prjna259827	srp058580	nd	samn03703968	srs942928	2015-08-27	nd	esc_aa8644aa	assembled	NA	96132	5514576	escherichia coli / shigella;100.0%	209	11342	esc_ba3534aa_as	2.2
esc_aa8647aa	670_13	srr2035376;illumina;paired;;srx1035537	human	human	human; homo sapiens	2013	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o26:h11	nd	nd	nd	nd	nd	prjna259827	srp058580	nd	samn03703967	srs942929	2015-08-27	2015-05-22	esc_aa8647aa	assembled	NA	70952	5369469	escherichia coli / shigella;97.63%	236	3199	esc_ba4742aa_as	2.2
esc_aa8648aa	467_10	srr2035375;illumina;paired;;srx1035534,srr2120768;illumina;paired;;srx1035534	human	human	human; homo sapiens	2010	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o26:h11	nd	nd	nd	nd	nd	prjna259827	srp058580	nd	samn03703966	srs942931	2015-08-27	nd	esc_aa8648aa	assembled	NA	101073	5441765	escherichia coli / shigella;100.0%	330	9590	esc_ba0702aa_as	2.2
esc_aa8651aa	637_13	srr2035374;illumina;paired;;srx1035533	human	human	human; homo sapiens	2013	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o26:h11	nd	nd	nd	nd	nd	prjna259827	srp058580	nd	samn03703965	srs942932	2015-08-27	2015-05-22	esc_aa8651aa	assembled	NA	96411	5374737	escherichia coli / shigella;100.0%	306	3681	esc_ca5018aa_as	2.2
esc_aa8653aa	165_12	srr2035370;illumina;paired;;srx1035530	human	human	human; homo sapiens	2012	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o26:h11	nd	nd	nd	nd	nd	prjna259827	srp058580	nd	samn03703958	srs942921	2015-08-27	2015-05-22	esc_aa8653aa	assembled	NA	101084	5744614	escherichia coli / shigella;99.71%	384	13117	esc_ba2923aa_as	2.2
esc_aa8654aa	2290-502_12	srr2035369;illumina;paired;;srx1035529	human	human	human; homo sapiens	2012	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o26:h11	nd	nd	nd	nd	nd	prjna259827	srp058580	nd	samn03703957	srs942919	2015-08-27	2015-05-22	esc_aa8654aa	assembled	NA	92113	5467186	escherichia coli / shigella;100.0%	246	4741	esc_ca1090aa_as	2.2
esc_aa8656aa	627_12	srr2035368;illumina;paired;;srx1035527	human	human	human; homo sapiens	2012	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o26:h11	nd	nd	nd	nd	nd	prjna259827	srp058580	nd	samn03703956	srs942922	2015-08-27	2015-05-22	esc_aa8656aa	assembled	NA	98727	5686540	escherichia coli / shigella;100.0%	347	8756	esc_ca3616aa_as	2.2
esc_aa8658aa	483_12	srr2035367;illumina;paired;;srx1035526	human	human	human; homo sapiens	2012	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o26:h11	nd	nd	nd	nd	nd	prjna259827	srp058580	nd	samn03703955	srs942923	2015-08-27	2015-05-22	esc_aa8658aa	assembled	NA	101082	5692146	escherichia coli / shigella;99.65%	317	8801	esc_ca1744aa_as	2.2
esc_aa8660aa	259_10	srr2035366;illumina;paired;;srx1035525,srr2120750;illumina;paired;;srx1035525	human	human	human; homo sapiens	2010	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o26:h11	nd	nd	nd	nd	nd	prjna259827	srp058580	nd	samn03703954	srs942925	2015-08-27	nd	esc_aa8660aa	assembled	NA	96132	5514576	escherichia coli / shigella;100.0%	209	11342	esc_ba2773aa_as	2.2
esc_aa8662aa	519_11	srr2035365;illumina;paired;;srx1035523,srr2120771;illumina;paired;;srx1035523	human	human	human; homo sapiens	2011	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o26:h11	nd	nd	nd	nd	nd	prjna259827	srp058580	nd	samn03703953	srs942924	2015-08-27	nd	esc_aa8662aa	assembled	NA	104251	5527953	escherichia coli / shigella;100.0%	382	13116	esc_ba6922aa_as	2.2
esc_aa8664aa	482_12	srr2035364;illumina;paired;;srx1035522	human	human	human; homo sapiens	2012	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o26:h11	nd	nd	nd	nd	nd	prjna259827	srp058580	nd	samn03703952	srs942926	2015-08-27	2015-05-22	esc_aa8664aa	assembled	NA	101161	5723046	escherichia coli / shigella;100.0%	351	9338	esc_ca3412aa_as	2.2
esc_aa8666aa	605_10	srr2035363;illumina;paired;;srx1035521,srr2120773;illumina;paired;;srx1035521	human	human	human; homo sapiens	2010	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o26:h11	nd	nd	nd	nd	nd	prjna259827	srp058580	nd	samn03703951	srs943399	2015-08-27	nd	esc_aa8666aa	assembled	NA	102417	5514367	escherichia coli / shigella;99.72%	387	11842	esc_aa9971aa_as	2.2
esc_aa9221aa	h123060304	srr1982104;illumina;paired;;srx1000992	human	human	human; homo sapiens	nd	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna248042	srp058392	nd	samn03492801	srs914964	2015-08-27	2015-04-21	esc_aa9221aa	assembled	NA	98625	5367135	escherichia coli / shigella;98.78%	281	5804	esc_ca6580aa_as	2.2
esc_aa9223aa	h122920161	srr1982099;illumina;paired;;srx1000989	human	human	human; homo sapiens	nd	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna248042	srp058392	nd	samn03492798	srs914955	2015-08-27	2015-04-21	esc_aa9223aa	assembled	NA	81162	5333419	escherichia coli / shigella;99.17%	247	10956	esc_ca7425aa_as	2.2
esc_aa9225aa	h092220118	srr1982079;illumina;paired;;srx1000976	human	human	human; homo sapiens	nd	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna248042	srp058392	nd	samn03492797	srs914942	2015-08-27	2015-04-21	esc_aa9225aa	assembled	NA	100090	5382024	escherichia coli / shigella;100.0%	321	4592	esc_ba2669aa_as	2.2
esc_aa9227aa	h134760169	srr1982077;illumina;paired;;srx1000975	human	human	human; homo sapiens	nd	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna248042	srp058392	nd	samn03492796	srs914941	2015-08-27	2015-04-21	esc_aa9227aa	assembled	NA	115240	5104421	escherichia coli / shigella;98.96%	209	2562	esc_ca5990aa_as	2.2
esc_aa9229aa	h123000130	srr1982076;illumina;paired;;srx1000974	human	human	human; homo sapiens	nd	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna248042	srp058392	nd	samn03492795	srs914940	2015-08-27	2015-04-21	esc_aa9229aa	assembled	NA	121957	5335343	escherichia coli / shigella;98.82%	182	4403	esc_ba0939aa_as	2.2
esc_aa9231aa	h123120509	srr1982075;illumina;paired;;srx1000973	human	human	human; homo sapiens	nd	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna248042	srp058392	nd	samn03492794	srs914939	2015-08-27	2015-04-21	esc_aa9231aa	assembled	NA	115799	5371252	escherichia coli / shigella;98.43%	275	3882	esc_ca4802aa_as	2.2
esc_aa9233aa	h120220620	srr1982074;illumina;paired;;srx1000972	human	human	human; homo sapiens	nd	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna248042	srp058392	nd	samn03492793	srs914936	2015-08-27	2015-04-21	esc_aa9233aa	assembled	NA	133610	5388870	escherichia coli / shigella;100.0%	274	8496	esc_ca0425aa_as	2.2
esc_aa9235aa	h122760537	srr1982073;illumina;paired;;srx1000971	human	human	human; homo sapiens	nd	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna248042	srp058392	nd	samn03492792	srs914937	2015-08-27	2015-04-21	esc_aa9235aa	assembled	NA	145026	5359861	escherichia coli / shigella;96.01%	232	4818	esc_ba5796aa_as	2.2
esc_aa9237aa	h120960852	srr1982072;illumina;paired;;srx1000970	human	human	human; homo sapiens	nd	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna248042	srp058392	nd	samn03492791	srs914938	2015-08-27	2015-04-21	esc_aa9237aa	assembled	NA	143105	5371610	escherichia coli / shigella;95.83%	267	4044	esc_ba4679aa_as	2.2
esc_aa9239aa	h125080303	srr1982071;illumina;paired;;srx1000969	human	human	human; homo sapiens	nd	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna248042	srp058392	nd	samn03492790	srs914930	2015-08-27	2015-04-21	esc_aa9239aa	assembled	NA	77570	5350259	escherichia coli / shigella;99.63%	302	14707	esc_ca4168aa_as	2.2
esc_aa9241aa	h124820266	srr1982070;illumina;paired;;srx1000968	human	human	human; homo sapiens	nd	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna248042	srp058392	nd	samn03492789	srs914931	2015-08-27	2015-04-21	esc_aa9241aa	assembled	NA	65047	5273439	escherichia coli / shigella;100.0%	222	18079	esc_ca2412aa_as	2.2
esc_aa9243aa	h124340163	srr1982069;illumina;paired;;srx1000967	human	human	human; homo sapiens	nd	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna248042	srp058392	nd	samn03492788	srs914932	2015-08-27	2015-04-21	esc_aa9243aa	assembled	NA	133884	5704806	escherichia coli / shigella;97.65%	300	5225	esc_ba2678aa_as	2.2
esc_aa9245aa	h122660483	srr1982068;illumina;paired;;srx1000966	human	human	human; homo sapiens	nd	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna248042	srp058392	nd	samn03492787	srs914933	2015-08-27	2015-04-21	esc_aa9245aa	assembled	NA	141287	5384275	escherichia coli / shigella;99.54%	239	5773	esc_ba9648aa_as	2.2
esc_aa9247aa	h103780083	srr1982067;illumina;paired;;srx1000965	human	human	human; homo sapiens	nd	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna248042	srp058392	nd	samn03492786	srs914935	2015-08-27	2015-04-21	esc_aa9247aa	assembled	NA	174360	5324702	escherichia coli / shigella;87.42%	148	4123	esc_aa9661aa_as	2.2
esc_aa9249aa	h102500288	srr1982066;illumina;paired;;srx1000964	human	human	human; homo sapiens	nd	nd	nd	nd	europe	united kingdom	nd	nd	nd	nd	nd	nd	gastrointestinal bacteria reference unit, public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna248042	srp058392	nd	samn03492785	srs914934	2015-08-27	2015-04-21	esc_aa9249aa	assembled	NA	121916	5369306	escherichia coli / shigella;100.0%	183	5222	esc_fa2270aa_as	2.2
