Sequence ID,Isolate ID,ENA Accessions 1,ENA Accessions 2,Total Length,Number Contigs,Avg_Contig_Length,Largest Contig,N50,Contigs in N50,Mapped %,Depth of Coverage,Participant,Year of Isolation,Geographic Location,Origin,Sample Type,gyrA Mutation,parC Mutation,H30-H30R-H30Rx,Clade,CTX-M Presence,blaOXA1,blaTEM,aac-(6')-lbcr,mphA,dfrA17,tetA,sul1,sul2,strA,strB
14937_7#3,NHES0001,ERR775970,ERS576025,5154148,99,52062.1,796339,191221,8,94.8,90.74,P3,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_7#30,NHES0050,ERR775997,ERS576225,5146279,102,50453.72,717182,190951,8,95.5,85.36,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
14937_7#31,NHES0054,ERR775998,ERS576227,5178605,112,46237.54,517435,173096,9,90.2,84.08,P25,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_7#32,NHES0080,ERR775999,ERS576238,5142503,93,55295.73,712640,190962,7,89.4,86.69,P19,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_7#33,NHES0103,ERR776000,ERS576241,5148138,100,51481.38,795635,175175,8,90.9,76.79,P6,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_7#35,NHES0139,ERR776002,ERS576247,5141701,107,48053.28,512127,173074,9,91.3,79.88,P6,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
14937_7#36,NHES0162,ERR776003,ERS576250,5095902,99,51473.76,512686,191002,8,96.7,78.39,P21,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_7#37,NHES0165,ERR776004,ERS576251,5108893,77,66349.26,827695,229771,7,91.9,82.82,P14,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent,Absent
14937_7#38,NHES0172,ERR776005,ERS576252,5142021,107,48056.27,748781,153226,8,90.4,83.63,P6,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
14937_7#39,NHES0200,ERR776006,ERS576257,5148598,97,53078.33,711873,301186,6,94.3,84.85,P3,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_7#41,NHES0232,ERR776008,ERS576263,5136935,109,47127.84,555534,173095,9,91.1,89.49,P6,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
14937_7#42,NHES0298,ERR776009,ERS576265,5144748,105,48997.6,712211,201237,8,95.5,80.84,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent
14937_7#43,NHES0300,ERR776010,ERS576266,5147623,96,53621.07,717216,191235,9,90.4,88.94,P19,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_7#44,NHES0310,ERR776011,ERS576267,5143915,111,46341.58,388124,183643,10,95.2,82.93,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent
14937_7#45,NHES0322,ERR776012,ERS576269,5101835,99,51533.69,402237,204646,9,91.1,89.05,P26,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_7#46,NHES0333,ERR776013,ERS576271,5146846,110,46789.51,385726,191239,10,95.2,89.09,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent
14937_7#47,NHES0241,ERR776014,ERS576272,5136546,113,45456.16,512287,163531,10,90.6,79.53,P6,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
14937_7#48,NHES0248,ERR776015,ERS576273,5096395,82,62151.16,473454,233238,8,93.1,86.23,P14,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent,Absent
14937_7#5,NHES0015,ERR775972,ERS576035,5150653,96,53652.64,712357,319180,6,94.3,100.77,P3,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_7#50,NHES0283,ERR776017,ERS576277,5302041,85,62376.95,390028,222341,9,93,84.39,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
14937_7#51,NHES0288,ERR776018,ERS576279,5250598,116,45263.78,512908,191235,10,85.7,91.86,P22,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_7#52,NHES0318,ERR776019,ERS576282,5148110,101,50971.39,712207,179607,9,91.1,89.69,P44,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_7#53,NHES0326,ERR776020,ERS576283,5119939,110,46544.9,686393,180831,8,88.1,82.65,P44,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent,Absent
14937_7#6,NHES0025,ERR775973,ERS576045,5155674,93,55437.35,967295,225089,7,95.6,100.74,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_7#7,NHES0056,ERR775974,ERS576060,5155078,103,50049.3,717015,200539,6,94.4,97.06,P3,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_7#8,NHES0057,ERR775975,ERS576061,5168214,112,46144.77,397284,192006,10,89.5,92.39,P22,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
14937_7#9,NHES0074,ERR775976,ERS576073,5164421,110,46949.28,523133,205034,8,88.7,80.64,P22,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_8#40,NHES0004,ERR776090,ERS575988,5103620,82,62239.27,418847,180839,9,85.7,70.1,P16,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent
14937_8#41,NHES0044,ERR776091,ERS575990,5106919,71,71928.44,507039,213770,8,90.5,78.1,P16,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent
14937_8#42,NHES0274,ERR776092,ERS575991,5141917,101,50910.07,826212,164594,10,93.4,74.7,P6,2014,East England,LTCF,Urine,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
14937_8#44,NHES0052,ERR776094,ERS575996,5105096,87,58679.26,393839,229925,9,93.7,77.76,P16,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent
14937_8#45,NHES0279,ERR776095,ERS575998,5105141,79,64622.04,434177,233449,8,92.1,79.65,P16,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent
14937_8#46,NHES0086,ERR776096,ERS576000,5094640,70,72780.57,394068,225748,9,92.4,80.93,P16,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent
14937_8#47,NHES0003,ERR776097,ERS576026,5290332,77,68705.61,544540,320057,7,92,79.32,P15,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
14937_8#48,NHES0006,ERR776098,ERS576027,5146011,105,49009.63,512939,173083,9,92.7,78.94,P6,2014,East England,LTCF,Urine,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_8#49,NHES0009,ERR776099,ERS576028,5027670,85,59149.06,723369,190968,6,95.6,95.58,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent
14937_8#50,NHES0011,ERR776100,ERS576029,5103597,77,66280.48,384843,191241,9,93.4,78.14,P14,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent,Absent
14937_8#51,NHES0012,ERR776101,ERS576030,5219281,75,69590.41,567576,320108,7,91.7,81.29,P15,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
14937_8#52,NHES0014,ERR776102,ERS576033,5110828,81,63096.64,744074,195712,7,93.3,88.04,P14,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent,Absent
14937_8#54,NHES0018,ERR776104,ERS576039,5109338,75,68124.51,394183,191257,9,92.7,79.36,P16,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent
14937_8#55,NHES0021,ERR776105,ERS576041,5181864,109,47540.04,512787,182970,9,91.7,75.8,P25,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_8#56,NHES0022,ERR776106,ERS576043,5149156,101,50981.74,512940,210902,8,93.1,77.33,P26,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_8#58,NHES0029,ERR776108,ERS576048,5112627,81,63118.85,719931,235620,7,93.4,81.79,P14,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent,Absent
14937_8#59,NHES0032,ERR776109,ERS576050,5148429,116,44383.01,544264,164594,9,92.3,81.29,P6,2014,East England,LTCF,Urine,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_8#60,NHES0037,ERR776110,ERS576052,5151894,91,56614.22,714550,176700,9,91.1,81.04,P6,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_8#61,NHES0038,ERR776111,ERS576054,5148133,99,52001.34,716903,210739,7,92.7,84.73,P19,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_8#62,NHES0039,ERR780254,ERS576056,5271337,63,83672.02,721399,308237,6,92.1,79.71,P15,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
14937_8#63,NHES0048,ERR780255,ERS576058,5269833,76,69339.91,744645,178419,8,92.4,78.38,P15,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
14937_8#64,NHES0058,ERR780256,ERS576063,5150212,97,53094.97,686146,176348,8,91.5,77.65,P6,2014,East England,LTCF,Urine,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_8#65,NHES0059,ERR780257,ERS576065,5111614,88,58086.52,717251,191337,8,95.2,95.11,P3,2014,East England,LTCF,Urine,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_8#66,NHES0065,ERR780258,ERS576067,5149607,113,45571.74,717286,164143,8,92,89.33,P6,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_8#67,NHES0067,ERR780259,ERS576069,5274116,70,75344.51,751367,278500,7,92.1,79.31,P15,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
14937_8#68,NHES0069,ERR780260,ERS576071,5271451,72,73214.6,871420,319494,6,92.5,84.15,P15,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent
14937_8#69,NHES0076,ERR780261,ERS576075,5111649,67,76293.27,394008,229826,8,92.9,85.84,P16,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent
14937_8#70,NHES0081,ERR780262,ERS576077,5261322,73,72072.9,1017714,317641,6,92.6,80.34,P15,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
14937_8#71,NHES0084,ERR780263,ERS576080,5059024,103,49116.74,983257,199858,6,93.4,80.47,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
14937_8#72,NHES0090,ERR780264,ERS576086,5107529,77,66331.55,716907,229652,7,93.1,77.74,P14,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent,Absent
14937_8#73,NHES0091,ERR780265,ERS576088,5148220,96,53627.29,717085,201889,7,86.2,88.33,P6,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_8#74,NHES0098,ERR780266,ERS576097,5260402,81,64943.23,1022105,222356,6,91.1,86.87,P15,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
14937_8#75,NHES0105,ERR780267,ERS576102,5143679,96,53579.99,686344,175970,9,88.8,78.7,P6,2014,East England,LTCF,Urine,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_8#76,NHES0108,ERR780268,ERS576106,5273359,77,68485.18,744128,278017,7,92.5,79.15,P15,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
14937_8#77,NHES0110,ERR780269,ERS576108,5271280,73,72209.32,745165,278017,7,92.3,78.58,P15,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
14937_8#78,NHES0111,ERR780270,ERS576111,5148720,101,50977.43,711950,191194,7,96.2,89.41,P3,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_8#79,NHES0113,ERR780271,ERS576113,5315896,92,57781.48,720208,319458,6,93.4,83.54,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
14937_8#80,NHES0116,ERR780272,ERS576114,5104250,97,52621.13,708101,209244,7,92.4,80.34,P26,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_8#81,NHES0117,ERR780273,ERS576117,5150764,100,51507.64,717188,173090,8,92.6,88.85,P6,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_8#83,NHES0119,ERR780275,ERS576120,5096263,98,52002.68,716726,190956,8,96.7,93.76,P21,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_8#84,NHES0120,ERR780276,ERS576122,5146399,84,61266.65,685746,225304,7,92,81.46,P19,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_8#85,NHES0124,ERR780277,ERS576126,5140317,90,57114.63,758450,191233,7,91.1,82.93,P19,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_8#86,NHES0128,ERR780278,ERS576128,5152382,96,53670.65,525447,197132,8,94.6,89.57,P3,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#1,NHES0130,ERR830474,ERS576130,5098582,92,55419.37,512674,309497,7,99.6,98.06,P21,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#10,NHES0147,ERR830483,ERS576153,5157057,105,49114.83,717289,225891,6,97.8,93.72,P3,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#11,NHES0148,ERR830484,ERS576155,5150173,94,54789.07,717145,201977,7,98.5,87.87,P3,2014,East England,LTCF,Urine,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#12,NHES0150,ERR830485,ERS576157,5105501,75,68073.35,487446,212475,9,96.5,87.79,P14,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent,Absent
15056_3#13,NHES0156,ERR830486,ERS576159,5256572,92,57136.65,512238,319079,7,91.7,81.65,P22,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#14,NHES0157,ERR830487,ERS576161,5274619,66,79918.47,864808,319695,6,94.6,93.89,P15,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_3#15,NHES0159,ERR830488,ERS576163,5156331,98,52615.62,717297,197000,8,95.8,94.08,P6,2014,East England,LTCF,Urine,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#16,NHES0166,ERR830489,ERS576169,5154603,85,60642.39,712216,191082,8,98.4,115.72,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_3#17,NHES0167,ERR830490,ERS576171,5076948,95,53441.56,744075,201352,7,96.4,97,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#18,NHES0169,ERR830491,ERS576173,5151452,95,54225.81,914181,218254,7,95.2,89.32,P26,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#19,NHES0170,ERR830492,ERS576175,5154022,92,56021.98,717048,210889,7,98.2,86.01,P3,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#2,NHES0133,ERR830475,ERS576132,5272167,67,78689.06,863955,319655,6,94.8,86.56,P15,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_3#20,NHES0173,ERR830493,ERS576177,5168070,103,50175.44,512782,314110,7,92.4,77.03,P22,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#21,NHES0177,ERR830494,ERS576179,5251438,109,48178.33,512902,192313,8,91.1,75.52,P22,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#22,NHES0178,ERR830495,ERS576181,5107384,80,63842.3,371824,195691,9,97.5,85.66,P14,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent,Absent
15056_3#23,NHES0180,ERR830496,ERS576188,5083666,98,51874.14,717251,203661,7,96.4,89.32,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
