study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB6403	SAMEA3451132	ERS747606	ERX1095591	ERR1016531	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5				
PRJEB6403	SAMEA3451133	ERS747607	ERX1095592	ERR1016532	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5				
PRJEB6403	SAMEA3451134	ERS747608	ERX1095593	ERR1016533	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5				
PRJEB6403	SAMEA3451135	ERS747609	ERX1095594	ERR1016534	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5				
PRJEB6403	SAMEA3451136	ERS747610	ERX1095595	ERR1016535	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5				
PRJEB6403	SAMEA3451137	ERS747611	ERX1095596	ERR1016536	576	Klebsiella sp.	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5				
PRJEB6403	SAMEA3451138	ERS747612	ERX1095597	ERR1016537	576	Klebsiella sp.	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5				
PRJEB6403	SAMEA3451139	ERS747613	ERX1095598	ERR1016538	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5				
PRJEB6403	SAMEA3451140	ERS747614	ERX1095599	ERR1016539	576	Klebsiella sp.	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5				
PRJEB6403	SAMEA3468845	ERS764442	ERX1095600	ERR1016540	224729	Salmonella enterica subsp. enterica serovar Java	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA484/ERA484782/pacbio_hdf5				
PRJEB6403	SAMEA3468846	ERS764443	ERX1104138	ERR1025266	149391	Salmonella enterica subsp. enterica serovar Braenderup	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5				
PRJEB6403	SAMEA3468847	ERS764444	ERX1104139	ERR1025267	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5				
PRJEB6403	SAMEA3468848	ERS764445	ERX1104140	ERR1025268	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5				
PRJEB6403	SAMEA3468849	ERS764446	ERX1104141	ERR1025269	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5				
PRJEB6403	SAMEA3468850	ERS764447	ERX1104142	ERR1025270	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5				
PRJEB6403	SAMEA3468851	ERS764448	ERX1104143	ERR1025271	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5				
PRJEB6403	SAMEA3468852	ERS764449	ERX1104144	ERR1025272	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5				
PRJEB6403	SAMEA3468853	ERS764450	ERX1104145	ERR1025273	576	Klebsiella sp.	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5				
PRJEB6403	SAMEA3468854	ERS764451	ERX1104146	ERR1025274	576	Klebsiella sp.	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5				
PRJEB6403	SAMEA3468855	ERS764452	ERX1104147	ERR1025275	576	Klebsiella sp.	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5				
PRJEB6403	SAMEA3468856	ERS764453	ERX1104148	ERR1025276	576	Klebsiella sp.	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5				
PRJEB6403	SAMEA3468857	ERS764454	ERX1104149	ERR1025277	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5				
PRJEB6403	SAMEA3468858	ERS764455	ERX1104150	ERR1025278	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5				
PRJEB6403	SAMEA3468859	ERS764456	ERX1104151	ERR1025279	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5				
PRJEB6403	SAMEA3468860	ERS764457	ERX1104152	ERR1025280	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5				
PRJEB6403	SAMEA3468861	ERS764458	ERX1104153	ERR1025281	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5				
PRJEB6403	SAMEA3468862	ERS764459	ERX1104154	ERR1025282	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5				
PRJEB6403	SAMEA3468863	ERS764460	ERX1104155	ERR1025283	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5				
PRJEB6403	SAMEA3468864	ERS764461	ERX1104156	ERR1025284	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5				
PRJEB6403	SAMEA3468865	ERS764462	ERX1104157	ERR1025285	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5				
PRJEB6403	SAMEA3468866	ERS764463	ERX1104158	ERR1025286	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486630/pacbio_hdf5				
PRJEB6403	SAMEA3468865	ERS764462	ERX1114953	ERR1036219	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5				
PRJEB6403	SAMEA3468866	ERS764463	ERX1114954	ERR1036220	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5				
PRJEB6403	SAMEA3451136	ERS747610	ERX1114955	ERR1036221	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5				
PRJEB6403	SAMEA3451137	ERS747611	ERX1114956	ERR1036222	576	Klebsiella sp.	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5				
PRJEB6403	SAMEA3451140	ERS747614	ERX1114957	ERR1036223	576	Klebsiella sp.	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5				
PRJEB6403	SAMEA3469437	ERS764942	ERX1114958	ERR1036224	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5				
PRJEB6403	SAMEA3469438	ERS764943	ERX1114959	ERR1036225	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5				
PRJEB6403	SAMEA3469439	ERS764944	ERX1114960	ERR1036226	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5				
PRJEB6403	SAMEA3469443	ERS764948	ERX1114961	ERR1036227	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5				
PRJEB6403	SAMEA3469444	ERS764949	ERX1114962	ERR1036228	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5				
PRJEB6403	SAMEA3469445	ERS764950	ERX1114963	ERR1036229	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5				
PRJEB6403	SAMEA3469446	ERS764951	ERX1114964	ERR1036230	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5				
PRJEB6403	SAMEA3469447	ERS764952	ERX1114965	ERR1036231	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5				
PRJEB6403	SAMEA3469448	ERS764953	ERX1114966	ERR1036232	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5				
PRJEB6403	SAMEA3469449	ERS764954	ERX1114967	ERR1036233	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5				
PRJEB6403	SAMEA3469450	ERS764955	ERX1114968	ERR1036234	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5				
PRJEB6403	SAMEA3469451	ERS764956	ERX1114969	ERR1036235	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5				
PRJEB6403	SAMEA3469452	ERS764957	ERX1114970	ERR1036236	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5				
PRJEB6403	SAMEA3469453	ERS764958	ERX1114971	ERR1036237	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5				
PRJEB6403	SAMEA3469454	ERS764959	ERX1114972	ERR1036238	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5				
PRJEB6403	SAMEA3505358	ERS812507	ERX1114973	ERR1036239	1280	Staphylococcus aureus	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490832/pacbio_hdf5				
PRJEB6403	SAMEA3469439	ERS764944	ERX1126873	ERR1046582	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5				
PRJEB6403	SAMEA3469440	ERS764945	ERX1126874	ERR1046583	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5				
PRJEB6403	SAMEA3469441	ERS764946	ERX1126875	ERR1046584	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5				
PRJEB6403	SAMEA3469442	ERS764947	ERX1126876	ERR1046585	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5				
PRJEB6403	SAMEA3505359	ERS812508	ERX1126877	ERR1046586	1282	Staphylococcus epidermidis	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5				
PRJEB6403	SAMEA3505360	ERS812509	ERX1126878	ERR1046587	1292	Staphylococcus warneri	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5				
PRJEB6403	SAMEA3505361	ERS812510	ERX1126879	ERR1046588	1282	Staphylococcus epidermidis	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5				
PRJEB6403	SAMEA3505362	ERS812511	ERX1126880	ERR1046589	147467	Staphylococcus sciuri subsp. sciuri	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5				
PRJEB6403	SAMEA3505363	ERS812512	ERX1126881	ERR1046590	584	Proteus mirabilis	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5				
PRJEB6403	SAMEA3505364	ERS812513	ERX1126882	ERR1046591	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5				
PRJEB6403	SAMEA3505365	ERS812514	ERX1126883	ERR1046592	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5				
PRJEB6403	SAMEA3505366	ERS812515	ERX1126884	ERR1046593	573	Klebsiella pneumoniae	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5				
PRJEB6403	SAMEA3505367	ERS812516	ERX1126885	ERR1046594	573	Klebsiella pneumoniae	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5				
PRJEB6403	SAMEA3505368	ERS812517	ERX1126886	ERR1046595	576	Klebsiella sp.	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5				
PRJEB6403	SAMEA3505369	ERS812518	ERX1126887	ERR1046596	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5				
PRJEB6403	SAMEA3492640	ERS799789	ERX1126888	ERR1046597	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5				
PRJEB6403	SAMEA3492641	ERS799790	ERX1126889	ERR1046598	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5				
PRJEB6403	SAMEA3492642	ERS799791	ERX1126890	ERR1046599	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5				
PRJEB6403	SAMEA3492643	ERS799792	ERX1126891	ERR1046600	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5				
PRJEB6403	SAMEA3492644	ERS799793	ERX1126892	ERR1046601	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5				
PRJEB6403	SAMEA3492645	ERS799794	ERX1126893	ERR1046602	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5				
PRJEB6403	SAMEA3492646	ERS799795	ERX1126894	ERR1046603	576	Klebsiella sp.	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5				
PRJEB6403	SAMEA3492647	ERS799796	ERX1126895	ERR1046604	576	Klebsiella sp.	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5				
PRJEB6403	SAMEA3492648	ERS799797	ERX1126896	ERR1046605	576	Klebsiella sp.	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5				
PRJEB6403	SAMEA3492649	ERS799798	ERX1126897	ERR1046606	576	Klebsiella sp.	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA520/ERA520661/pacbio_hdf5				
PRJEB6403	SAMEA3451131	ERS747605	ERX1150296	ERR1070146	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA524/ERA524506/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA524/ERA524506/pacbio_hdf5				
PRJEB6403	SAMEA3451139	ERS747613	ERX1150297	ERR1070147	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA524/ERA524506/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA524/ERA524506/pacbio_hdf5				
PRJEB6403	SAMEA3468860	ERS764457	ERX1150298	ERR1070148	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA524/ERA524506/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA524/ERA524506/pacbio_hdf5				
PRJEB6403	SAMEA3469437	ERS764942	ERX1150299	ERR1070149	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA524/ERA524506/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA524/ERA524506/pacbio_hdf5				
PRJEB6403	SAMEA3492650	ERS799799	ERX1150300	ERR1070150	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA524/ERA524506/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA524/ERA524506/pacbio_hdf5				
PRJEB6403	SAMEA3492651	ERS799800	ERX1150301	ERR1070151	576	Klebsiella sp.	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA524/ERA524506/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA524/ERA524506/pacbio_hdf5				
PRJEB6403	SAMEA3492652	ERS799801	ERX1150302	ERR1070152	548	Klebsiella aerogenes	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA524/ERA524506/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA524/ERA524506/pacbio_hdf5				
